#2023/10/05 17:40:28
time,fog,T
1775.38000,0.00207,37.0
1785.92900,0.00207,37.0
1785.93000,0.00208,37.0
1785.94000,0.00210,36.5
1785.95000,0.00210,36.5
1785.96000,0.00209,36.5
1785.97000,0.00205,36.5
1785.98000,0.00197,36.5
1785.99000,0.00191,36.5
1786.00000,0.00187,36.5
1786.01000,0.00186,36.5
1786.02000,0.00188,36.5
1786.03000,0.00189,36.5
1786.04000,0.00187,36.5
1786.05000,0.00190,36.5
1786.06000,0.00192,36.5
1786.07000,0.00199,36.5
1786.08000,0.00199,36.5
1786.09000,0.00196,36.5
1786.10000,0.00192,36.5
1786.11000,0.00185,36.5
1786.12000,0.00180,36.5
1786.13000,0.00180,36.5
1786.14000,0.00183,36.5
1786.15000,0.00178,36.5
1786.16000,0.00178,36.5
1786.17000,0.00174,36.5
1786.18000,0.00174,36.5
1786.19000,0.00174,36.5
1786.20000,0.00174,36.5
1786.21000,0.00174,36.5
1786.22000,0.00170,36.5
1786.23000,0.00172,36.5
1786.24000,0.00170,36.5
1786.25000,0.00180,36.5
1786.26000,0.00187,36.5
1786.27000,0.00189,36.5
1786.28000,0.00189,36.5
1786.29000,0.00191,36.5
1786.30000,0.00197,36.5
1786.31000,0.00197,36.5
1786.32000,0.00191,36.5
1786.33000,0.00193,36.5
1786.34000,0.00193,36.5
1786.35000,0.00191,36.5
1786.36000,0.00195,36.5
1786.37000,0.00198,36.5
1786.38000,0.00200,36.5
1786.39000,0.00199,36.5
1786.40000,0.00196,36.5
1786.41000,0.00196,36.5
1786.42000,0.00198,36.5
1786.43000,0.00195,36.5
1786.44000,0.00197,36.5
1786.45000,0.00197,36.5
1786.46000,0.00196,36.5
1786.47000,0.00188,36.5
1786.48000,0.00180,36.5
1786.49000,0.00183,36.5
1786.50000,0.00187,36.5
1786.51000,0.00188,36.5
1786.52000,0.00185,36.5
1786.53000,0.00182,36.5
1786.54000,0.00183,36.5
1786.55000,0.00182,36.5
1786.56000,0.00177,36.5
1786.57000,0.00170,36.5
1786.58000,0.00172,36.5
1786.59000,0.00174,36.5
1786.60000,0.00167,36.5
1786.61000,0.00167,36.5
1786.62000,0.00166,36.5
1786.63000,0.00172,36.5
1786.64000,0.00180,36.5
1786.65000,0.00181,36.5
1786.66000,0.00175,36.5
1786.67000,0.00176,36.5
1786.68000,0.00174,36.5
1786.69000,0.00172,36.5
1786.70000,0.00171,36.5
1786.71000,0.00175,36.5
1786.72000,0.00174,36.5
1786.73000,0.00176,36.5
1786.74000,0.00180,36.5
1786.75000,0.00183,36.5
1786.76000,0.00189,36.5
1786.77000,0.00197,36.5
1786.78000,0.00198,36.5
1786.79000,0.00190,36.5
1786.80000,0.00187,36.5
1786.81000,0.00187,36.5
1786.82000,0.00190,36.5
1786.83000,0.00183,36.5
1786.84000,0.00189,36.5
1786.85000,0.00199,36.5
1786.86000,0.00200,36.5
1786.87000,0.00201,36.5
1786.88000,0.00202,36.5
1786.89000,0.00201,36.5
1786.90000,0.00204,36.5
1786.91000,0.00199,36.5
1786.92000,0.00193,36.5
1786.93000,0.00191,36.5
1786.94000,0.00186,36.5
1786.95000,0.00185,36.5
1786.96000,0.00184,36.5
1786.97000,0.00185,36.5
1786.98000,0.00189,36.5
1786.99000,0.00184,36.5
1787.00000,0.00185,36.5
