#2023/09/22 10:19:50
time,fog,T
0.16580,-1.50000,35.5
0.17010,0.00000,35.5
0.18040,0.00000,35.5
0.18980,0.00000,35.5
0.20020,-1.50000,35.5
0.20960,0.00000,35.5
0.21990,0.00000,35.5
0.23020,0.00000,35.5
0.23970,-1.50000,35.5
0.25010,0.00000,35.5
0.25950,0.00000,35.5
0.26990,0.00000,35.5
0.28030,0.00000,35.5
0.28970,-1.50000,35.5
0.30010,-1.50000,35.5
0.30950,0.00000,35.5
0.32000,0.00000,35.5
0.33030,0.00000,35.5
0.33960,0.00000,35.5
0.35000,0.00000,35.5
0.35940,0.00000,35.5
0.36970,0.00000,35.5
0.38010,0.00000,35.5
0.38950,0.00000,35.5
0.39990,1.50000,35.5
0.40930,0.00000,35.5
0.41970,0.00000,35.5
0.43010,0.00000,35.5
0.43940,0.00000,35.5
0.44990,1.50000,35.5
0.45930,1.50000,35.5
0.46990,0.00000,35.5
0.48030,0.00000,35.5
0.48970,0.00000,35.5
0.50020,0.00000,35.5
0.50960,-1.50000,35.5
0.52000,0.00000,35.5
0.52950,0.00000,35.5
0.53990,0.00000,35.5
0.54940,0.00000,35.5
0.55980,0.00000,35.5
0.56920,0.00000,35.5
0.57970,0.00000,35.5
0.59010,1.50000,35.5
0.59960,-1.50000,35.5
0.61000,-1.50000,35.5
0.61950,1.50000,35.5
0.63000,0.00000,35.5
0.63940,0.00000,35.5
0.64990,-1.50000,35.5
0.65940,-1.50000,35.5
0.66990,0.00000,35.5
0.67940,0.00000,35.5
0.68970,-1.50000,35.5
0.69920,0.00000,35.5
0.70960,0.00000,35.5
0.72010,-1.50000,35.5
0.72950,1.50000,35.5
0.74000,0.00000,35.5
0.74940,-1.50000,35.5
0.75990,0.00000,35.5
0.76930,0.00000,35.5
0.77970,1.50000,35.5
0.78910,-1.50000,35.5
0.79960,0.00000,35.5
0.81000,0.00000,35.5
0.81940,-1.50000,35.5
0.82990,0.00000,35.5
0.83920,0.00000,35.5
0.84970,1.50000,35.5
0.85910,0.00000,35.5
0.86950,0.00000,35.5
0.87990,0.00000,35.5
0.88930,0.00000,35.5
0.89980,0.00000,35.5
0.90920,1.50000,35.5
0.91970,0.00000,35.5
0.92910,-1.50000,35.5
0.93950,0.00000,35.5
0.94990,0.00000,35.5
0.95920,0.00000,35.5
0.96970,0.00000,35.5
0.97910,0.00000,35.5
0.98950,0.00000,35.5
0.99910,-1.50000,35.5
1.00960,0.00000,35.5
1.01900,0.00000,35.5
1.02950,-1.50000,35.5
1.04000,0.00000,35.5
1.04930,0.00000,35.5
1.05980,0.00000,35.5
1.06930,0.00000,35.5
1.07980,0.00000,35.5
1.08920,0.00000,35.5
1.09970,0.00000,35.5
1.10910,-1.50000,35.5
1.11970,-1.50000,35.5
1.12910,0.00000,35.5
1.13970,0.00000,35.5
1.14910,-1.50000,35.5
1.15970,0.00000,35.5
1.16910,0.00000,35.5
1.17950,0.00000,35.5
1.18900,1.50000,35.5
1.19940,0.00000,35.5
1.20990,0.00000,35.5
1.21920,0.00000,35.5
1.22960,0.00000,35.5
1.23910,-1.50000,35.5
1.24960,0.00000,35.5
1.25910,-1.50000,35.5
1.26960,0.00000,35.5
1.27900,0.00000,35.5
1.28950,0.00000,35.5
1.29890,1.50000,35.5
1.30940,0.00000,35.5
1.31890,0.00000,35.5
1.32930,0.00000,35.5
1.33880,0.00000,35.5
1.34930,0.00000,35.5
1.35870,-1.50000,35.5
1.36920,0.00000,35.5
1.37960,0.00000,35.5
1.38910,0.00000,35.5
1.39950,-1.50000,35.5
1.40900,0.00000,35.5
1.41940,0.00000,35.5
1.42880,0.00000,35.5
1.43930,0.00000,35.5
1.44880,-1.50000,35.5
1.45930,1.50000,35.5
1.46870,-1.50000,35.5
1.47920,0.00000,35.5
1.48970,0.00000,35.5
1.49910,-1.50000,35.5
1.50860,0.00000,35.5
1.51920,0.00000,35.5
1.52870,0.00000,35.5
1.53910,1.50000,35.5
1.54870,0.00000,35.5
1.55920,0.00000,35.5
1.56860,0.00000,35.5
1.57910,0.00000,35.5
1.58950,0.00000,35.5
1.59890,0.00000,35.5
1.60930,0.00000,35.5
1.61870,0.00000,35.5
1.62920,-1.50000,35.5
1.63870,-1.50000,35.5
1.64920,0.00000,35.5
1.65860,0.00000,35.5
1.66910,1.50000,35.5
1.67860,1.50000,35.5
1.68900,-1.50000,35.5
1.69950,0.00000,35.5
1.70900,-1.50000,35.5
1.71850,0.00000,35.5
1.72900,-1.50000,35.5
1.73950,0.00000,35.5
1.74890,0.00000,35.5
1.75940,-1.50000,35.5
1.76880,0.00000,35.5
1.77920,0.00000,35.5
1.78860,1.50000,35.5
1.79900,0.00000,35.5
1.80840,-1.50000,35.5
1.81890,0.00000,35.5
1.82840,1.50000,35.5
1.83880,0.00000,35.5
1.84920,1.50000,35.5
1.85860,0.00000,35.5
1.86910,0.00000,35.5
1.87850,1.50000,35.5
1.88900,0.00000,35.5
1.89840,1.50000,35.5
1.90890,0.00000,35.5
1.91930,0.00000,35.5
1.92870,-1.50000,35.5
1.93920,-1.50000,35.5
1.94860,-1.50000,35.5
1.95910,-1.50000,35.5
1.96850,0.00000,35.5
1.97890,0.00000,35.5
1.98830,-1.50000,35.5
1.99880,1.50000,35.5
2.00920,0.00000,35.5
2.01860,-1.50000,35.5
2.02900,1.50000,35.5
2.03850,0.00000,35.5
2.04890,1.50000,35.5
2.05840,0.00000,35.5
2.06880,0.00000,35.5
2.07830,1.50000,35.5
2.08880,-1.50000,35.5
2.09830,0.00000,35.5
2.10870,0.00000,35.5
2.11920,0.00000,35.5
2.12860,0.00000,35.5
2.13910,0.00000,35.5
2.14850,0.00000,35.5
2.15900,0.00000,35.5
2.16840,0.00000,35.5
2.17880,0.00000,35.5
2.18920,1.50000,35.5
2.19860,0.00000,35.5
2.20900,0.00000,35.5
2.21840,0.00000,35.5
2.22890,0.00000,35.5
2.23830,-1.50000,35.5
2.24870,0.00000,35.5
2.25820,0.00000,35.5
2.26860,0.00000,35.5
2.27900,0.00000,35.5
2.28850,0.00000,35.5
2.29890,-1.50000,35.5
2.30830,0.00000,35.5
2.31870,0.00000,35.5
2.32810,0.00000,35.5
2.33850,0.00000,35.5
2.34890,0.00000,35.5
2.35820,0.00000,35.5
2.36860,1.50000,35.5
2.37800,0.00000,35.5
2.38840,0.00000,35.5
2.39880,0.00000,35.5
2.40820,0.00000,35.5
2.41860,0.00000,35.5
2.42800,0.00000,35.5
2.43840,0.00000,35.5
2.44880,0.00000,35.5
2.45830,0.00000,35.5
2.46870,0.00000,35.5
2.47800,0.00000,35.5
2.48850,0.00000,35.5
2.49890,0.00000,35.5
2.50830,0.00000,35.5
2.51880,0.00000,35.5
2.52820,1.50000,35.5
2.53860,0.00000,35.5
2.54800,0.00000,35.5
2.55840,0.00000,35.5
2.56880,0.00000,35.5
2.57830,0.00000,35.5
2.58870,1.50000,35.5
2.59820,1.50000,35.5
2.60870,1.50000,35.5
2.61810,-1.50000,35.5
2.62860,0.00000,35.5
2.63800,1.50000,35.5
2.64840,0.00000,35.5
2.65790,0.00000,35.5
2.66830,0.00000,35.5
2.67880,0.00000,35.5
2.68820,0.00000,35.5
2.69860,0.00000,35.5
2.70810,0.00000,35.5
2.71860,1.50000,35.5
2.72810,0.00000,35.5
2.73850,0.00000,35.5
2.74790,-1.50000,35.5
2.75840,0.00000,35.5
2.76780,0.00000,35.5
2.77830,0.00000,35.5
2.78870,0.00000,35.5
2.79810,-1.50000,35.5
2.80860,0.00000,35.5
2.81800,0.00000,35.5
2.82830,-1.50000,35.5
2.83780,1.50000,35.5
2.84830,1.50000,35.5
2.85780,-1.50000,35.5
2.86820,0.00000,35.5
2.87860,1.50000,35.5
2.88800,-1.50000,35.5
2.89840,0.00000,35.5
2.90790,0.00000,35.5
2.91830,0.00000,35.5
2.92770,0.00000,35.5
2.93820,-1.50000,35.5
2.94870,0.00000,35.5
2.95810,0.00000,35.5
2.96850,0.00000,35.5
2.97790,0.00000,35.5
2.98830,0.00000,35.5
2.99770,0.00000,35.5
3.00810,0.00000,35.5
3.01850,0.00000,35.5
3.02790,0.00000,35.5
3.03830,0.00000,35.5
3.04770,0.00000,35.5
3.05810,0.00000,35.5
3.06750,-1.50000,35.5
3.07800,-1.50000,35.5
3.08840,0.00000,35.5
3.09780,0.00000,35.5
3.10820,0.00000,35.5
3.11760,0.00000,35.5
3.12800,0.00000,35.5
3.13840,0.00000,35.5
3.14780,1.50000,35.5
3.15830,0.00000,35.5
3.16770,1.50000,35.5
3.17810,0.00000,35.5
3.18750,-1.50000,35.5
3.19790,0.00000,35.5
3.20830,0.00000,35.5
3.21770,0.00000,35.5
3.22800,0.00000,35.5
3.23850,-1.50000,35.5
3.24790,0.00000,35.5
3.25820,-1.50000,35.5
3.26760,0.00000,35.5
3.27800,0.00000,35.5
3.28740,0.00000,35.5
3.29780,-1.50000,35.5
3.30830,0.00000,35.5
3.31770,-1.50000,35.5
3.32830,0.00000,35.5
3.33760,-1.50000,35.5
3.34810,0.00000,35.5
3.35740,0.00000,35.5
3.36790,0.00000,35.5
3.37740,-1.50000,35.5
3.38790,0.00000,35.5
3.39730,1.50000,35.5
3.40790,0.00000,35.5
3.41730,1.50000,35.5
3.42780,0.00000,35.5
3.43820,1.50000,35.5
3.44760,0.00000,35.5
3.45800,0.00000,35.5
3.46750,0.00000,35.5
3.47790,-1.50000,35.5
3.48740,0.00000,35.5
3.49780,0.00000,35.5
3.50830,-1.50000,35.5
3.51770,0.00000,35.5
3.52820,-1.50000,35.5
3.53760,-1.50000,35.5
3.54810,0.00000,35.5
3.55750,0.00000,35.5
3.56800,1.50000,35.5
3.57750,1.50000,35.5
3.58800,1.50000,35.5
3.59740,0.00000,35.5
3.60780,1.50000,35.5
3.61720,1.50000,35.5
3.62770,0.00000,35.5
3.63810,0.00000,35.5
3.64760,0.00000,35.5
3.65800,0.00000,35.5
3.66740,-1.50000,35.5
3.67780,0.00000,35.5
3.68720,0.00000,35.5
3.69750,0.00000,35.5
3.70790,0.00000,35.5
3.71730,0.00000,35.5
3.72770,0.00000,35.5
3.73710,0.00000,35.5
3.74750,0.00000,35.5
3.75790,0.00000,35.5
3.76720,0.00000,35.5
3.77760,0.00000,35.5
3.78800,0.00000,35.5
3.79730,0.00000,35.5
