Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (dBm)
0, 2/9/2023, 11:28:07.507,4.3913
1, 2/9/2023, 11:28:07.945,4.391
2, 2/9/2023, 11:28:07.984,4.3912
3, 2/9/2023, 11:28:08.015,4.3912
4, 2/9/2023, 11:28:08.138,4.3911
5, 2/9/2023, 11:28:08.260,4.3912
6, 2/9/2023, 11:28:08.383,4.3908
7, 2/9/2023, 11:28:08.507,4.3908
8, 2/9/2023, 11:28:08.630,4.3909
9, 2/9/2023, 11:28:08.753,4.3909
10, 2/9/2023, 11:28:08.876,4.3909
11, 2/9/2023, 11:28:08.907,4.3913
12, 2/9/2023, 11:28:08.938,4.391
13, 2/9/2023, 11:28:08.970,4.3907
14, 2/9/2023, 11:28:09.000,4.3916
15, 2/9/2023, 11:28:09.123,4.3911
16, 2/9/2023, 11:28:09.246,4.3906
17, 2/9/2023, 11:28:09.370,4.3913
18, 2/9/2023, 11:28:09.492,4.391
19, 2/9/2023, 11:28:09.615,4.391
20, 2/9/2023, 11:28:09.738,4.3909
21, 2/9/2023, 11:28:09.860,4.3918
22, 2/9/2023, 11:28:09.983,4.3913
23, 2/9/2023, 11:28:10.014,4.3905
24, 2/9/2023, 11:28:10.135,4.391
25, 2/9/2023, 11:28:10.258,4.3913
26, 2/9/2023, 11:28:10.380,4.3909
27, 2/9/2023, 11:28:10.502,4.3916
28, 2/9/2023, 11:28:10.625,4.3912
29, 2/9/2023, 11:28:10.746,4.3916
30, 2/9/2023, 11:28:10.869,4.3912
31, 2/9/2023, 11:28:10.993,4.3914
32, 2/9/2023, 11:28:11.024,4.3916
33, 2/9/2023, 11:28:11.146,4.3915
34, 2/9/2023, 11:28:11.269,4.3913
35, 2/9/2023, 11:28:11.391,4.3913
36, 2/9/2023, 11:28:11.514,4.3914
37, 2/9/2023, 11:28:11.636,4.3913
38, 2/9/2023, 11:28:11.759,4.3913
39, 2/9/2023, 11:28:11.883,4.3914
40, 2/9/2023, 11:28:11.914,4.3912
41, 2/9/2023, 11:28:11.946,4.3916
42, 2/9/2023, 11:28:11.977,4.3912
43, 2/9/2023, 11:28:12.007,4.3912
44, 2/9/2023, 11:28:12.109,4.3915
45, 2/9/2023, 11:28:12.232,4.3914
46, 2/9/2023, 11:28:12.356,4.3914
47, 2/9/2023, 11:28:12.479,4.3917
48, 2/9/2023, 11:28:12.602,4.3917
49, 2/9/2023, 11:28:12.725,4.3916
50, 2/9/2023, 11:28:12.847,4.3917
51, 2/9/2023, 11:28:12.970,4.3916
52, 2/9/2023, 11:28:13.001,4.3918
53, 2/9/2023, 11:28:13.124,4.3919
54, 2/9/2023, 11:28:13.247,4.3917
55, 2/9/2023, 11:28:13.370,4.3915
56, 2/9/2023, 11:28:13.493,4.3917
57, 2/9/2023, 11:28:13.616,4.3917
58, 2/9/2023, 11:28:13.739,4.3919
59, 2/9/2023, 11:28:13.863,4.3916
60, 2/9/2023, 11:28:13.986,4.3913
61, 2/9/2023, 11:28:14.018,4.3917
62, 2/9/2023, 11:28:14.141,4.4481
63, 2/9/2023, 11:28:14.264,4.4805
64, 2/9/2023, 11:28:14.387,4.4854
65, 2/9/2023, 11:28:14.510,4.4766
66, 2/9/2023, 11:28:14.634,4.4976
67, 2/9/2023, 11:28:14.734,4.4974
68, 2/9/2023, 11:28:14.856,4.4921
69, 2/9/2023, 11:28:14.978,4.5006
70, 2/9/2023, 11:28:15.021,4.4671
71, 2/9/2023, 11:28:15.144,4.4879
72, 2/9/2023, 11:28:15.268,4.4889
73, 2/9/2023, 11:28:15.392,4.5044
74, 2/9/2023, 11:28:15.492,4.5063
75, 2/9/2023, 11:28:15.621,4.4993
76, 2/9/2023, 11:28:15.744,4.463
77, 2/9/2023, 11:28:15.867,4.3371
78, 2/9/2023, 11:28:15.990,4.3221
79, 2/9/2023, 11:28:16.022,4.3069
80, 2/9/2023, 11:28:16.144,4.3067
81, 2/9/2023, 11:28:16.266,4.3065
82, 2/9/2023, 11:28:16.388,4.3066
83, 2/9/2023, 11:28:16.512,4.3066
84, 2/9/2023, 11:28:16.633,4.3189
85, 2/9/2023, 11:28:16.756,4.3191
86, 2/9/2023, 11:28:16.878,4.3079
87, 2/9/2023, 11:28:16.910,4.3035
88, 2/9/2023, 11:28:16.942,4.3055
89, 2/9/2023, 11:28:16.974,4.3021
90, 2/9/2023, 11:28:17.004,4.3077
91, 2/9/2023, 11:28:17.128,4.3033
92, 2/9/2023, 11:28:17.250,4.3047
93, 2/9/2023, 11:28:17.373,4.3067
94, 2/9/2023, 11:28:17.496,4.314
95, 2/9/2023, 11:28:17.617,4.3166
96, 2/9/2023, 11:28:17.740,4.3269
97, 2/9/2023, 11:28:17.864,4.3097
98, 2/9/2023, 11:28:17.987,4.3252
99, 2/9/2023, 11:28:18.018,4.3232
100, 2/9/2023, 11:28:18.140,4.3312
101, 2/9/2023, 11:28:18.262,4.3281
102, 2/9/2023, 11:28:18.384,4.3586
103, 2/9/2023, 11:28:18.506,4.3972
104, 2/9/2023, 11:28:18.629,4.4318
