#2025/09/09 15:11:30
time,wx,wy,wz,ax,ay,az,T,pitch,roll,yaw
0.037,0.04266,-0.02131,0.03448,0.03513,0.03579,9.79728,0.0,-0.12314,0.32904,-0.00065
0.047,0.09095,-0.02248,0.04526,0.04426,0.02860,9.80439,0.0,-0.20589,0.25160,-0.00033
0.057,0.06563,0.02081,0.04932,0.03586,0.03469,9.81007,0.0,-0.27557,0.16267,0.00032
0.067,0.11018,0.03776,0.04006,0.04153,0.04584,9.81222,0.0,-0.17882,0.22456,0.00035
0.077,0.16077,-0.07670,-0.01709,0.03481,0.04128,9.81602,0.0,-0.25896,0.30606,0.00014
0.087,0.01706,-0.07761,0.04725,0.03224,0.04836,9.81153,0.0,-0.18039,0.22663,-0.00033
0.097,0.07081,-0.09915,0.06102,0.04606,0.05108,9.82464,0.0,-0.17896,0.33977,-0.00007
0.107,-0.05138,0.08984,0.05522,0.04542,0.04328,9.82669,0.0,-0.29046,0.31501,0.00047
0.117,-0.06464,0.06313,0.09625,0.04519,0.03736,9.82452,0.0,-0.25470,0.20523,0.00127
0.127,0.02751,0.09775,0.06869,0.04213,0.04392,9.82071,0.0,-0.33111,0.12136,0.00266
0.137,0.07365,0.10004,0.07971,0.03503,0.04643,9.81926,0.0,-0.27074,0.21910,0.00241
0.147,0.03771,0.02337,0.04105,0.02638,0.03563,9.82761,0.0,-0.17483,0.28270,0.00279
0.157,-0.05183,-0.01752,0.05866,0.03789,0.05210,9.82484,0.0,-0.12758,0.17980,0.00297
0.167,-0.01030,-0.01051,0.08682,0.03935,0.04955,9.81787,0.0,-0.19479,0.26991,0.00316
0.177,-0.00556,0.02513,0.10829,0.04583,0.03976,9.82411,0.0,-0.30446,0.29788,0.00382
0.187,-0.00234,-0.12652,0.06299,0.03943,0.03012,9.82354,0.0,-0.28829,0.18554,0.00536
0.197,0.12806,-0.07326,0.00229,0.03401,0.03821,9.81441,0.0,-0.19081,0.13110,0.00567
0.207,0.05784,0.03430,0.06516,0.04973,0.02954,9.82576,0.0,-0.18003,0.24607,0.00470
0.217,-0.01255,0.09708,0.09993,0.04388,0.02917,9.82416,0.0,-0.27445,0.18561,0.00572
0.227,0.00546,-0.05488,0.05969,0.05354,0.02607,9.81170,0.0,-0.16856,0.14068,0.00685
0.237,-0.00983,-0.05801,0.05500,0.04532,0.03961,9.81581,0.0,-0.28320,0.14106,0.00693
0.247,-0.00520,-0.01505,0.08541,0.04812,0.03890,9.82036,0.0,-0.24615,0.24798,0.00669
0.257,0.12727,-0.06374,0.04323,0.04325,0.03863,9.82209,0.0,-0.34593,0.19470,0.00775
0.267,-0.02841,-0.06189,-0.02661,0.04435,0.04441,9.82275,0.0,-0.23699,0.22592,0.00751
0.277,-0.02325,-0.00560,0.02192,0.04477,0.04662,9.82003,0.0,-0.28590,0.32698,0.00608
0.287,-0.04267,-0.01731,0.05131,0.04491,0.04453,9.83382,0.0,-0.23529,0.22494,0.00680
0.297,-0.18045,-0.00076,0.03029,0.04793,0.04667,9.83316,0.0,-0.31490,0.30456,0.00685
0.307,-0.13577,0.03936,-0.03172,0.04318,0.04160,9.82698,0.0,-0.23494,0.22167,0.00714
0.317,-0.05343,0.03316,-0.01234,0.04728,0.05143,9.82461,0.0,-0.22513,0.33317,0.00573
0.327,-0.05468,0.05258,0.03811,0.03699,0.04342,9.82668,0.0,-0.33749,0.33703,0.00545
0.337,-0.00048,0.00532,0.00362,0.03602,0.04624,9.82450,0.0,-0.24438,0.27101,0.00622
0.347,-0.02393,0.07508,-0.03124,0.01790,0.03259,9.81479,0.0,-0.13427,0.29718,0.00569
0.357,0.18510,-0.01779,0.02014,0.03175,0.03326,9.80515,0.0,-0.07382,0.19999,0.00509
0.367,0.09142,-0.05460,0.02912,0.04591,0.03647,9.81035,0.0,-0.18764,0.20089,0.00535
0.377,0.03397,-0.06883,0.10794,0.04246,0.03179,9.80049,0.0,-0.29984,0.22120,0.00535
0.387,0.06545,0.01429,0.04092,0.04405,0.04180,9.81450,0.0,-0.21232,0.14939,0.00697
0.397,0.00241,-0.05371,0.00481,0.04176,0.03677,9.79614,0.0,-0.25216,0.25604,0.00628
0.407,-0.04403,-0.00272,-0.00912,0.04086,0.04368,9.79208,0.0,-0.22321,0.14620,0.00629
