#2025/12/15 15:25:54
mcu_time,latitude,longitude,altitude,utc_year,utc_month,utc_day,utc_hour,utc_minute,utc_second,utc_millisecond,gps_status_code
213.029,25.063552,121.280828,0.00,2025,12,15,7,25,54,800,3
214.079,25.063552,121.280828,75.16,2025,12,15,7,25,54,800,0
215.120,25.063552,121.280828,74.39,2025,12,15,7,25,54,800,0
216.150,25.063552,121.280829,60.00,2025,12,15,7,25,54,800,0
217.179,25.063552,121.280829,75.15,2025,12,15,7,25,54,800,0
221.290,25.063551,121.280829,75.18,2025,12,15,7,26,2,600,0
223.359,25.063551,121.280829,6.00,2025,12,15,7,26,2,600,3
224.390,25.063550,121.280829,75.29,2025,12,15,7,26,2,600,0
225.441,25.063550,121.280829,230.34,2025,12,15,7,26,2,600,3
226.489,25.063550,121.280829,75.37,2025,12,15,7,26,2,600,0
228.569,25.063550,121.280829,75.45,2025,12,15,7,26,2,600,0
229.601,25.063550,121.280829,75.51,2025,12,15,7,26,2,600,0
230.641,25.063550,121.280829,14151286.00,2025,12,15,7,26,2,600,3
231.673,25.063550,121.280829,14151286.00,2025,12,15,7,26,2,600,3
232.720,25.063550,121.280829,75.69,2025,12,15,7,26,2,600,0
241.023,25.063550,121.280827,76.22,2025,12,15,7,26,2,600,0
247.250,25.063550,121.280826,76.45,2025,12,15,7,26,23,600,0
248.290,25.063550,121.280825,76.57,2025,12,15,7,26,23,600,0
259.670,25.063549,121.280823,77.12,2025,12,15,7,26,37,400,0
260.689,25.063549,121.280823,77.12,2025,12,15,7,26,37,400,0
265.840,25.063547,121.280822,77.47,2025,12,15,7,26,47,600,0
266.869,25.063546,121.280822,77.51,2025,12,15,7,26,47,600,0
267.921,25.063546,121.280822,62.00,2025,12,15,7,26,47,600,0
268.951,25.063546,121.280822,6.00,2025,12,15,7,26,47,600,3
271.040,25.063545,121.280822,77.71,2025,12,15,7,26,52,800,0
272.082,25.063545,121.280821,6.00,2025,12,15,7,26,52,800,3
274.149,25.063545,121.280821,77.91,2025,12,15,7,26,55,200,0
275.179,25.063545,121.280820,77.95,2025,12,15,7,26,55,200,0
276.219,25.063544,121.280820,78.03,2025,12,15,7,26,55,200,0
283.439,0.000000,0.000000,151225.00,2025,12,15,7,27,1,600,3
284.481,25.063543,121.280817,63.81,2025,12,15,7,27,1,600,0
286.563,25.063543,121.280816,78.69,2025,12,15,7,27,1,600,0
287.593,25.063543,121.280816,78.69,2025,12,15,7,27,1,600,0
