#2025/12/15 13:47:37
mcu_time,latitude,longitude,altitude,utc_year,utc_month,utc_day,utc_hour,utc_minute,utc_second,utc_millisecond,gps_status_code
164.089,25.063726,121.280723,48.36,2002,12,15,5,47,35,800,0
165.119,25.063724,121.280722,48.48,2002,12,15,5,47,35,800,0
168.180,25.063723,121.280722,48.57,2002,12,15,5,47,35,800,0
169.200,25.063723,121.280721,48.58,2002,12,15,5,47,35,800,0
172.269,25.063722,121.280721,48.58,2011,8,14,5,47,45,400,0
173.291,25.063722,121.280721,48.56,2011,8,14,5,47,45,400,0
176.350,25.063722,121.280721,4.00,2003,8,14,5,47,50,200,0
177.372,25.063722,121.280721,48.56,2003,8,14,5,47,50,200,0
180.451,25.063722,121.280721,48.56,2003,8,14,5,47,50,200,0
181.469,25.063722,121.280721,4.00,2003,8,14,5,47,50,200,0
184.531,25.063722,121.280721,48.56,2003,8,14,5,47,50,200,0
187.581,25.063722,121.280721,48.55,2003,8,14,5,47,50,200,0
188.610,25.063722,121.280721,48.55,2025,12,15,5,48,3,400,0
191.659,25.063722,121.280721,4.00,2025,12,15,5,48,3,400,0
194.720,25.063722,548.170000,30.00,2025,12,15,5,48,3,400,3
197.779,25.063721,121.280721,3.00,2025,12,15,5,48,3,400,0
198.802,25.063721,121.280721,48.56,2025,12,15,5,48,3,400,0
201.860,25.063721,121.280202,48.56,2025,12,15,5,48,15,200,0
204.920,25.063721,121.280721,35.00,2025,12,15,5,48,15,200,3
205.939,25.063720,121.280721,48.64,2025,12,15,5,48,20,800,0
209.001,25.063720,121.280722,48.66,2025,12,15,5,48,24,400,0
210.030,25.063720,121.280722,48.69,2025,12,15,5,48,24,400,0
213.090,25.063719,121.280722,48.69,2025,12,15,5,48,24,400,0
216.151,25.063719,121.280722,48.75,2025,12,15,5,48,24,400,3
217.170,25.063719,121.280722,48.75,2025,12,15,5,48,24,400,3
220.239,25.063718,121.280722,48.85,2025,12,15,5,48,35,400,0
221.259,25.063718,121.280723,4.00,2025,12,15,5,48,36,0,0
224.319,25.063717,121.280723,48.88,2025,12,15,5,48,36,0,0
227.381,25.063717,121.280723,48.88,2025,12,15,5,48,36,0,0
228.400,25.063717,121.280723,148.07,2025,12,15,5,48,36,0,0
231.459,25.063717,121.280723,48.86,2025,12,15,5,48,45,400,0
