#2025/12/18 16:45:13
time,wx,wy,wz,ax,ay,az,T,pitch,roll,yaw,gps_status_code
0.037,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,30.0,-0.10344,-0.27989,0.00035,255
0.047,-0.05502,-0.01548,-0.00214,0.00112,0.02645,-4.90446,30.0,-0.09059,-0.33008,0.00044,255
0.057,-0.08786,-0.04565,-0.00131,-0.00971,0.04222,-7.84982,30.0,-0.09153,-0.35387,0.00047,255
0.067,-0.07963,-0.01507,-0.00009,-0.00828,0.05464,-9.05535,30.0,-0.06513,-0.36423,0.00047,255
0.077,-0.09868,0.01808,0.00154,-0.01058,0.05051,-9.51771,30.0,-0.05311,-0.34130,0.00041,255
0.087,-0.03953,0.00967,0.00210,-0.00554,0.05785,-9.68881,30.0,-0.03190,-0.34942,0.00042,255
0.097,0.00513,0.00660,0.00032,-0.00369,0.06068,-9.76007,30.0,-0.05298,-0.34230,0.00042,255
0.107,-0.08908,0.11228,-0.00307,-0.01183,0.05871,-9.78715,30.0,-0.03296,-0.35355,0.00043,255
0.117,-0.19105,0.10924,-0.00501,-0.01187,0.05204,-9.79163,30.0,-0.05097,-0.34151,0.00041,255
0.127,-0.18551,0.06534,-0.00682,-0.02092,0.05833,-9.80208,30.0,-0.04878,-0.36368,0.00041,255
0.137,-0.11695,0.02747,-0.00653,-0.01549,0.05785,-9.80618,30.0,-0.06625,-0.35194,0.00035,255
0.147,-0.08996,-0.09452,-0.00517,-0.02230,0.06647,-9.80471,30.0,-0.07290,-0.37254,0.00033,255
0.157,0.03003,-0.03292,-0.00512,-0.00708,0.05511,-9.80435,30.0,-0.08650,-0.36034,0.00027,255
0.167,-0.05654,-0.03171,-0.00464,-0.01902,0.06540,-9.79812,30.0,-0.09739,-0.38062,0.00025,255
0.177,-0.06750,-0.03111,-0.00343,-0.02053,0.06045,-9.79281,30.0,-0.09646,-0.35859,0.00017,255
0.187,-0.02766,-0.00911,-0.00328,-0.02116,0.06154,-9.79374,30.0,-0.10959,-0.37732,0.00017,255
0.197,-0.10191,0.14929,-0.00338,-0.01856,0.06201,-9.80297,30.0,-0.09912,-0.35726,0.00009,255
0.207,-0.06322,0.10268,-0.00459,-0.01459,0.06518,-9.80360,30.0,-0.11125,-0.37678,0.00009,1
0.217,-0.02617,0.06350,-0.00305,-0.01298,0.05157,-9.80379,30.0,-0.09987,-0.35757,0.00001,1
0.227,-0.03427,0.06990,-0.00200,-0.00665,0.05536,-9.81575,30.0,-0.09638,-0.37987,0.00000,1
0.237,0.00637,0.13713,-0.00125,-0.01887,0.05662,-9.80834,30.0,-0.08657,-0.36254,359.99991,1
0.247,-0.06604,0.09776,-0.00254,-0.01460,0.06308,-9.79682,30.0,-0.08389,-0.38455,359.99991,1
0.257,0.01724,0.01888,-0.00297,-0.01299,0.06851,-9.79243,30.0,-0.07823,-0.36512,359.99985,1
0.267,-0.01723,-0.01165,-0.00301,-0.01837,0.06169,-9.80241,30.0,-0.07819,-0.38895,359.99985,1
0.277,-0.03028,-0.04481,-0.00606,-0.01163,0.05919,-9.81224,30.0,-0.08333,-0.36766,359.99979,1
0.287,0.03149,-0.12158,-0.00743,-0.00889,0.04930,-9.80714,30.0,-0.06550,-0.38428,359.99976,1
0.297,-0.03375,-0.08694,-0.00681,-0.00484,0.05441,-9.79643,30.0,-0.06924,-0.36123,359.99969,1
0.307,-0.05945,0.03382,-0.00649,-0.01816,0.05330,-9.80095,30.0,-0.07018,-0.38186,359.99966,1
0.317,-0.09059,-0.02771,-0.00748,-0.02040,0.05294,-9.81155,30.0,-0.07200,-0.35765,359.99957,1
0.327,-0.12503,0.01316,-0.00669,-0.02113,0.05571,-9.80383,30.0,-0.08681,-0.37439,359.99954,1
0.337,-0.07238,0.09369,-0.00658,-0.02443,0.05086,-9.80965,30.0,-0.10590,-0.35490,359.99945,1
0.347,-0.07389,0.05980,-0.00618,-0.00780,0.04615,-9.80035,30.0,-0.08834,-0.34885,359.99936,1
0.357,-0.09605,-0.01780,-0.00297,-0.01032,0.05019,-9.79374,30.0,-0.08806,-0.32541,359.99927,1
0.367,-0.01707,0.08212,-0.00129,-0.00241,0.04590,-9.79427,30.0,-0.06940,-0.31602,359.99918,1
0.377,-0.03030,0.01249,0.00079,-0.00844,0.06199,-9.80028,30.0,-0.05493,-0.30198,359.99911,1
0.387,-0.01309,-0.03548,0.00199,0.00110,0.05936,-9.80567,30.0,-0.03000,-0.30092,359.99908,1
0.397,-0.11765,0.03155,-0.00015,-0.00992,0.05227,-9.80161,30.0,-0.05005,-0.30805,359.99908,1
0.407,-0.06875,-0.00681,-0.00165,-0.01710,0.06136,-9.79416,30.0,-0.02673,-0.31902,359.99911,1
0.417,-0.02796,-0.02134,-0.00130,-0.00815,0.05316,-9.80911,30.0,-0.04403,-0.32644,359.99911,1
0.427,0.00909,0.05927,-0.00026,-0.00459,0.06182,-9.79720,30.0,-0.02610,-0.33526,359.99911,1
0.437,-0.08807,0.19693,-0.00618,-0.00925,0.06510,-9.80139,30.0,-0.04888,-0.33916,359.99911,1
0.447,-0.08021,0.14225,-0.00748,-0.01700,0.08111,-9.80001,30.0,-0.04060,-0.36089,359.99908,1
0.457,-0.03282,0.10012,-0.00463,-0.01702,0.07247,-9.80831,30.0,-0.06457,-0.35412,359.99902,1
0.467,-0.03634,0.01937,-0.00309,-0.01403,0.05735,-9.81444,30.0,-0.05347,-0.37588,359.99899,1
0.477,-0.03740,-0.05447,-0.00411,-0.00987,0.05749,-9.80800,30.0,-0.07312,-0.36434,359.99893,1
0.487,0.00541,0.04664,-0.00778,-0.00521,0.05754,-9.79676,30.0,-0.05612,-0.37895,359.99890,1
0.497,-0.11014,-0.00159,-0.00638,-0.01540,0.06341,-9.80114,30.0,-0.06775,-0.36163,359.99881,1
0.507,-0.22103,0.04410,-0.00614,-0.00747,0.07168,-9.80006,30.0,-0.05007,-0.37823,359.99878,1
0.517,-0.13051,0.01936,-0.00604,-0.01918,0.06286,-9.80234,30.0,-0.06659,-0.36547,359.99869,1
0.527,-0.11818,0.03127,-0.00521,-0.01771,0.06545,-9.79743,30.0,-0.05261,-0.38652,359.99866,1
0.537,-0.02510,0.03637,-0.00565,-0.01435,0.05764,-9.81323,30.0,-0.07068,-0.37570,359.99857,1
0.547,-0.09953,-0.02688,-0.00438,-0.00993,0.04872,-9.80752,30.0,-0.04597,-0.37378,359.99850,1
0.557,-0.08435,0.03523,-0.00033,-0.01710,0.06001,-9.79642,30.0,-0.06190,-0.36153,359.99844,1
0.567,0.03208,0.03813,0.00201,-0.01381,0.05251,-9.78929,30.0,-0.04405,-0.34504,359.99841,1
0.577,-0.01186,0.03870,0.00018,-0.00980,0.05861,-9.79840,30.0,-0.05631,-0.33134,359.99838,1
