#2025/12/18 16:45:13
mcu_time,latitude,longitude,altitude,utc_year,utc_month,utc_day,utc_hour,utc_minute,utc_second,utc_millisecond,gps_status_code
40.623,25.063545,121.280733,79.60,2025,12,16,8,45,6,0,1
40.823,25.063545,121.280733,79.41,2025,12,16,8,45,6,200,1
41.023,25.063545,121.280732,79.25,2025,12,16,8,45,6,400,1
41.223,25.063545,121.280732,79.10,2025,12,16,8,45,6,600,1
41.423,25.063545,121.280732,78.96,2025,12,16,8,45,6,800,1
41.623,25.063545,121.280732,78.82,2025,12,16,8,45,7,0,1
41.823,25.063545,121.280732,78.70,2025,12,16,8,45,7,200,1
42.023,25.063544,121.280732,78.62,2025,12,16,8,45,7,400,1
42.223,25.063544,121.280732,78.54,2025,12,16,8,45,7,600,1
42.423,25.063544,121.280731,78.44,2025,12,16,8,45,7,800,1
42.623,25.063544,121.280731,78.35,2025,12,16,8,45,8,0,1
42.823,25.063544,121.280731,78.30,2025,12,16,8,45,8,200,1
43.023,25.063544,121.280731,78.26,2025,12,16,8,45,8,400,1
43.223,25.063544,121.280731,78.22,2025,12,16,8,45,8,600,1
43.423,25.063544,121.280731,78.18,2025,12,16,8,45,8,800,1
43.623,25.063544,121.280731,78.15,2025,12,16,8,45,9,0,1
43.823,25.063544,121.280731,78.11,2025,12,16,8,45,9,200,1
44.024,25.063544,121.280731,78.07,2025,12,16,8,45,9,400,1
44.224,25.063544,121.280732,78.04,2025,12,16,8,45,9,600,1
44.424,25.063544,121.280732,78.04,2025,12,16,8,45,9,600,1
44.624,25.063544,121.280732,78.03,2025,12,16,8,45,9,800,1
44.824,25.063544,121.280732,78.02,2025,12,16,8,45,10,0,1
45.024,25.063544,121.280732,78.00,2025,12,16,8,45,10,200,1
45.224,25.063544,121.280732,77.98,2025,12,16,8,45,10,400,1
45.424,25.063544,121.280732,77.97,2025,12,16,8,45,10,600,1
45.624,25.063544,121.280732,77.96,2025,12,16,8,45,10,800,1
45.824,25.063545,121.280732,77.92,2025,12,16,8,45,11,200,1
46.024,25.063545,121.280732,77.90,2025,12,16,8,45,11,400,1
46.224,25.063545,121.280732,77.87,2025,12,16,8,45,11,600,1
46.424,25.063545,121.280732,77.85,2025,12,16,8,45,11,800,1
46.624,25.063545,121.280732,77.85,2025,12,16,8,45,11,800,3
46.824,25.063545,121.280732,77.81,2025,12,16,8,45,12,200,1
47.024,25.063546,121.280732,77.79,2025,12,16,8,45,12,400,1
47.224,25.063546,121.280732,77.77,2025,12,16,8,45,12,600,1
47.424,25.063546,121.280732,77.76,2025,12,16,8,45,12,800,1
47.624,25.063546,121.280732,77.76,2025,12,16,8,45,12,800,3
47.824,25.063545,121.280732,77.75,2025,12,16,8,45,13,200,1
48.024,25.063545,121.280732,77.73,2025,12,16,8,45,13,400,1
48.224,25.063544,121.280732,77.74,2025,12,16,8,45,13,600,1
48.424,25.063544,121.280732,77.74,2025,12,16,8,45,13,800,1
48.624,25.063544,121.280732,77.73,2025,12,16,8,45,14,0,1
48.824,25.063543,121.280732,77.73,2025,12,16,8,45,14,200,1
49.024,25.063543,121.280732,77.82,2025,12,16,8,45,14,400,1
49.224,25.063543,121.280733,77.93,2025,12,16,8,45,14,600,1
49.424,25.063542,121.280733,78.04,2025,12,16,8,45,14,800,1
49.624,25.063542,121.280734,78.16,2025,12,16,8,45,15,0,1
49.824,25.063542,121.280734,78.26,2025,12,16,8,45,15,200,1
50.024,25.063543,121.280734,78.36,2025,12,16,8,45,15,400,1
50.224,25.063543,121.280735,78.45,2025,12,16,8,45,15,600,1
50.424,25.063543,121.280735,78.53,2025,12,16,8,45,15,800,1
50.624,25.063543,121.280736,78.61,2025,12,16,8,45,16,0,1
50.824,25.063543,121.280736,78.67,2025,12,16,8,45,16,200,1
51.024,25.063543,121.280736,78.71,2025,12,16,8,45,16,400,1
51.224,25.063543,121.280737,78.74,2025,12,16,8,45,16,600,1
51.424,25.063543,121.280737,78.74,2025,12,16,8,45,16,600,1
51.624,25.063543,121.280737,78.77,2025,12,16,8,45,16,800,1
51.824,25.063543,121.280737,78.81,2025,12,16,8,45,17,0,1
52.024,25.063543,121.280737,78.83,2025,12,16,8,45,17,200,1
52.224,25.063542,121.280738,78.86,2025,12,16,8,45,17,400,1
52.424,25.063542,121.280738,78.89,2025,12,16,8,45,17,600,1
52.624,25.063542,121.280738,78.92,2025,12,16,8,45,17,800,1
52.824,25.063541,121.280738,78.94,2025,12,16,8,45,18,0,1
53.024,25.063541,121.280739,78.97,2025,12,16,8,45,18,200,1
53.224,25.063541,121.280739,79.02,2025,12,16,8,45,18,600,1
53.424,25.063540,121.280739,79.05,2025,12,16,8,45,18,800,1
53.624,25.063540,121.280739,79.05,2025,12,16,8,45,18,800,1
53.824,25.063540,121.280740,79.11,2025,12,16,8,45,19,200,1
54.024,25.063540,121.280740,79.13,2025,12,16,8,45,19,400,1
54.224,25.063540,121.280740,79.16,2025,12,16,8,45,19,600,1
54.424,25.063540,121.280740,79.17,2025,12,16,8,45,19,800,1
54.624,25.063540,121.280740,79.17,2025,12,16,8,45,19,800,1
54.824,25.063539,121.280741,79.24,2025,12,16,8,45,20,200,1
55.024,25.063539,121.280741,79.29,2025,12,16,8,45,20,400,1
55.224,25.063538,121.280741,79.33,2025,12,16,8,45,20,600,1
55.424,25.063538,121.280741,79.38,2025,12,16,8,45,20,800,1
55.624,25.063538,121.280742,79.45,2025,12,16,8,45,21,0,1
55.824,25.063537,121.280742,79.50,2025,12,16,8,45,21,200,1
56.024,25.063537,121.280742,79.57,2025,12,16,8,45,21,400,1
56.224,25.063537,121.280743,79.61,2025,12,16,8,45,21,600,1
56.424,25.063536,121.280743,79.66,2025,12,16,8,45,21,800,1
56.624,25.063536,121.280743,79.70,2025,12,16,8,45,22,0,1
56.824,25.063536,121.280743,79.77,2025,12,16,8,45,22,200,1
57.024,25.063535,121.280743,79.83,2025,12,16,8,45,22,400,1
57.224,25.063535,121.280744,79.90,2025,12,16,8,45,22,600,1
57.424,25.063535,121.280744,79.96,2025,12,16,8,45,22,800,1
57.624,25.063535,121.280744,79.96,2025,12,16,8,45,22,800,1
57.824,25.063535,121.280744,80.01,2025,12,16,8,45,23,0,1
58.024,25.063534,121.280744,80.06,2025,12,16,8,45,23,200,0
58.224,25.063534,121.280745,80.10,2025,12,16,8,45,23,400,0
58.424,25.063534,121.280745,80.14,2025,12,16,8,45,23,600,0
58.624,25.063534,121.280745,80.18,2025,12,16,8,45,23,800,0
58.824,25.063534,121.280745,80.22,2025,12,16,8,45,24,0,0
59.024,25.063533,121.280745,80.26,2025,12,16,8,45,24,200,0
59.224,25.063533,121.280745,80.30,2025,12,16,8,45,24,400,0
59.424,25.063533,121.280746,80.34,2025,12,16,8,45,24,600,0
59.624,25.063533,121.280746,80.38,2025,12,16,8,45,24,800,0
59.824,25.063533,121.280746,80.47,2025,12,16,8,45,25,200,0
60.024,25.063532,121.280746,80.52,2025,12,16,8,45,25,400,0
60.224,25.063532,121.280747,80.55,2025,12,16,8,45,25,600,0
60.424,25.063532,121.280747,80.59,2025,12,16,8,45,25,800,0
60.624,25.063532,121.280747,80.63,2025,12,16,8,45,26,0,0
60.824,25.063532,121.280747,80.66,2025,12,16,8,45,26,200,0
61.024,25.063532,121.280747,80.71,2025,12,16,8,45,26,400,0
61.224,25.063532,121.280748,80.74,2025,12,16,8,45,26,600,0
61.424,25.063531,121.280748,80.78,2025,12,16,8,45,26,800,0
61.624,25.063531,121.280748,80.83,2025,12,16,8,45,27,0,0
61.824,25.063531,121.280748,80.86,2025,12,16,8,45,27,200,0
62.024,25.063531,121.280749,80.91,2025,12,16,8,45,27,400,0
62.224,25.063531,121.280749,80.94,2025,12,16,8,45,27,600,0
62.424,25.063531,121.280749,80.99,2025,12,16,8,45,27,800,0
62.624,25.063531,121.280749,81.02,2025,12,16,8,45,28,0,0
62.824,25.063531,121.280749,81.02,2025,12,16,8,45,28,0,0
63.024,25.063531,121.280749,81.05,2025,12,16,8,45,28,200,0
63.224,25.063531,121.280749,81.09,2025,12,16,8,45,28,400,0
63.424,25.063531,121.280749,81.12,2025,12,16,8,45,28,600,0
63.624,25.063531,121.280750,81.16,2025,12,16,8,45,28,800,0
63.824,25.063531,121.280750,81.19,2025,12,16,8,45,29,0,0
64.024,25.063531,121.280750,81.22,2025,12,16,8,45,29,200,0
64.224,25.063531,121.280750,81.25,2025,12,16,8,45,29,400,0
64.424,25.063531,121.280750,81.29,2025,12,16,8,45,29,600,0
64.624,25.063530,121.280750,81.31,2025,12,16,8,45,29,800,0
64.824,25.063530,121.280751,81.37,2025,12,16,8,45,30,200,0
65.024,25.063530,121.280751,81.40,2025,12,16,8,45,30,400,0
65.224,25.063530,121.280751,81.43,2025,12,16,8,45,30,600,0
65.424,25.063530,121.280751,81.45,2025,12,16,8,45,30,800,0
65.624,25.063530,121.280751,81.48,2025,12,16,8,45,31,0,0
65.824,25.063530,121.280751,81.51,2025,12,16,8,45,31,200,0
66.024,25.063530,121.280751,81.53,2025,12,16,8,45,31,400,0
66.224,25.063530,121.280751,81.55,2025,12,16,8,45,31,600,0
66.424,25.063530,121.280751,81.57,2025,12,16,8,45,31,800,0
66.624,25.063530,121.280751,81.59,2025,12,16,8,45,32,0,0
66.824,25.063530,121.280752,81.61,2025,12,16,8,45,32,200,0
67.024,25.063530,121.280752,81.63,2025,12,16,8,45,32,400,0
67.224,25.063530,121.280752,81.64,2025,12,16,8,45,32,600,0
67.424,25.063530,121.280752,81.66,2025,12,16,8,45,32,800,0
67.624,25.063530,121.280752,81.68,2025,12,16,8,45,33,0,0
67.824,25.063530,121.280752,81.70,2025,12,16,8,45,33,200,0
68.024,25.063530,121.280752,81.70,2025,12,16,8,45,33,200,0
68.224,25.063530,121.280752,81.72,2025,12,16,8,45,33,400,0
68.424,25.063530,121.280752,81.73,2025,12,16,8,45,33,600,0
68.624,25.063530,121.280752,81.75,2025,12,16,8,45,33,800,0
68.824,25.063530,121.280753,81.77,2025,12,16,8,45,34,0,0
69.024,25.063530,121.280753,81.78,2025,12,16,8,45,34,200,0
69.224,25.063530,121.280753,81.79,2025,12,16,8,45,34,400,0
69.424,25.063530,121.280753,81.80,2025,12,16,8,45,34,600,0
69.624,25.063530,121.280753,81.82,2025,12,16,8,45,34,800,0
69.824,25.063530,121.280753,81.85,2025,12,16,8,45,35,200,0
70.024,25.063530,121.280753,81.87,2025,12,16,8,45,35,400,0
70.224,25.063530,121.280753,81.89,2025,12,16,8,45,35,600,0
70.424,25.063530,121.280753,81.90,2025,12,16,8,45,35,800,0
70.624,25.063530,121.280753,81.90,2025,12,16,8,45,35,800,0
70.824,25.063530,121.280753,81.94,2025,12,16,8,45,36,200,0
71.024,25.063530,121.280753,81.95,2025,12,16,8,45,36,400,0
71.224,25.063530,121.280753,81.96,2025,12,16,8,45,36,600,0
71.424,25.063530,121.280753,81.97,2025,12,16,8,45,36,800,0
71.624,25.063530,121.280753,81.97,2025,12,16,8,45,36,800,0
71.824,25.063529,121.280754,82.00,2025,12,16,8,45,37,200,0
72.024,25.063529,121.280754,82.02,2025,12,16,8,45,37,400,0
72.224,25.063529,121.280754,82.04,2025,12,16,8,45,37,600,0
72.424,25.063529,121.280754,82.05,2025,12,16,8,45,37,800,0
72.624,25.063529,121.280754,82.06,2025,12,16,8,45,38,0,0
72.824,25.063529,121.280754,82.07,2025,12,16,8,45,38,200,0
73.024,25.063528,121.280754,82.08,2025,12,16,8,45,38,400,0
73.224,25.063528,121.280754,82.10,2025,12,16,8,45,38,600,0
73.424,25.063528,121.280754,82.10,2025,12,16,8,45,38,800,0
73.624,25.063528,121.280754,82.12,2025,12,16,8,45,39,0,0
73.824,25.063528,121.280754,82.13,2025,12,16,8,45,39,200,0
74.024,25.063527,121.280754,82.14,2025,12,16,8,45,39,400,0
74.224,25.063527,121.280754,82.16,2025,12,16,8,45,39,600,0
74.424,25.063527,121.280754,82.16,2025,12,16,8,45,39,600,0
74.624,25.063527,121.280754,82.17,2025,12,16,8,45,39,800,0
74.824,25.063527,121.280754,82.18,2025,12,16,8,45,40,0,0
75.024,25.063527,121.280754,82.22,2025,12,16,8,45,40,200,0
75.224,25.063527,121.280754,82.25,2025,12,16,8,45,40,400,0
75.424,25.063527,121.280755,82.29,2025,12,16,8,45,40,600,0
75.624,25.063527,121.280755,82.32,2025,12,16,8,45,40,800,0
75.824,25.063527,121.280755,82.36,2025,12,16,8,45,41,0,0
76.024,25.063527,121.280755,82.40,2025,12,16,8,45,41,200,0
76.224,25.063527,121.280755,82.43,2025,12,16,8,45,41,400,0
76.424,25.063527,121.280755,82.46,2025,12,16,8,45,41,600,0
76.624,25.063527,121.280755,82.49,2025,12,16,8,45,41,800,0
76.824,25.063526,121.280756,82.54,2025,12,16,8,45,42,200,0
77.024,25.063526,121.280756,82.57,2025,12,16,8,45,42,400,0
77.224,25.063526,121.280756,82.60,2025,12,16,8,45,42,600,0
77.424,25.063526,121.280756,82.63,2025,12,16,8,45,42,800,0
77.624,25.063526,121.280756,82.63,2025,12,16,8,45,42,800,0
77.824,25.063526,121.280756,82.69,2025,12,16,8,45,43,200,0
78.024,25.063526,121.280757,82.72,2025,12,16,8,45,43,400,0
78.224,25.063526,121.280757,82.74,2025,12,16,8,45,43,600,0
78.424,25.063526,121.280757,82.77,2025,12,16,8,45,43,800,0
78.624,25.063526,121.280757,82.80,2025,12,16,8,45,44,0,0
78.824,25.063526,121.280757,82.82,2025,12,16,8,45,44,200,0
79.024,25.063526,121.280757,82.84,2025,12,16,8,45,44,400,0
79.224,25.063526,121.280757,82.87,2025,12,16,8,45,44,600,0
79.424,25.063526,121.280757,82.89,2025,12,16,8,45,44,800,0
79.624,25.063526,121.280757,82.92,2025,12,16,8,45,45,0,0
79.824,25.063526,121.280757,82.94,2025,12,16,8,45,45,200,0
80.024,25.063526,121.280757,82.96,2025,12,16,8,45,45,400,0
80.224,25.063526,121.280757,82.96,2025,12,16,8,45,45,400,0
80.424,25.063526,121.280758,82.99,2025,12,16,8,45,45,600,0
80.624,25.063526,121.280758,83.02,2025,12,16,8,45,45,800,0
80.824,25.063526,121.280758,83.04,2025,12,16,8,45,46,0,0
81.024,25.063526,121.280758,83.06,2025,12,16,8,45,46,200,0
81.224,25.063526,121.280758,83.09,2025,12,16,8,45,46,400,0
81.424,25.063526,121.280758,83.11,2025,12,16,8,45,46,600,0
81.624,25.063526,121.280758,83.12,2025,12,16,8,45,46,800,0
81.824,25.063526,121.280758,83.15,2025,12,16,8,45,47,0,0
82.024,25.063526,121.280758,83.19,2025,12,16,8,45,47,200,0
82.224,25.063526,121.280759,83.27,2025,12,16,8,45,47,600,0
82.424,25.063526,121.280759,83.32,2025,12,16,8,45,47,800,0
82.624,25.063526,121.280759,83.32,2025,12,16,8,45,47,800,0
82.824,25.063526,121.280760,83.42,2025,12,16,8,45,48,200,0
83.024,25.063526,121.280760,83.45,2025,12,16,8,45,48,400,0
83.224,25.063526,121.280760,83.48,2025,12,16,8,45,48,600,0
83.424,25.063526,121.280760,83.50,2025,12,16,8,45,48,800,0
83.624,25.063526,121.280760,83.50,2025,12,16,8,45,48,800,0
83.824,25.063526,121.280760,83.54,2025,12,16,8,45,49,200,0
84.024,25.063526,121.280760,83.57,2025,12,16,8,45,49,400,0
84.224,25.063526,121.280760,83.59,2025,12,16,8,45,49,600,0
84.424,25.063526,121.280761,83.61,2025,12,16,8,45,49,800,0
84.624,25.063526,121.280761,83.64,2025,12,16,8,45,50,0,0
84.824,25.063526,121.280761,83.67,2025,12,16,8,45,50,200,0
85.024,25.063526,121.280761,83.69,2025,12,16,8,45,50,400,0
85.224,25.063526,121.280761,83.73,2025,12,16,8,45,50,600,0
85.424,25.063526,121.280761,83.75,2025,12,16,8,45,50,800,0
85.624,25.063527,121.280761,83.78,2025,12,16,8,45,51,0,0
85.824,25.063527,121.280761,83.81,2025,12,16,8,45,51,200,0
86.024,25.063527,121.280761,83.81,2025,12,16,8,45,51,200,0
86.224,25.063527,121.280761,83.84,2025,12,16,8,45,51,400,0
86.424,25.063527,121.280761,83.86,2025,12,16,8,45,51,600,0
86.624,25.063527,121.280762,83.88,2025,12,16,8,45,51,800,0
86.824,25.063527,121.280762,83.91,2025,12,16,8,45,52,0,0
87.024,25.063527,121.280762,83.95,2025,12,16,8,45,52,200,0
87.224,25.063527,121.280762,83.98,2025,12,16,8,45,52,400,0
87.424,25.063527,121.280762,84.03,2025,12,16,8,45,52,600,0
87.624,25.063527,121.280762,84.06,2025,12,16,8,45,52,800,0
87.824,25.063527,121.280763,84.09,2025,12,16,8,45,53,0,0
88.024,25.063527,121.280763,84.14,2025,12,16,8,45,53,200,0
88.224,25.063527,121.280763,84.25,2025,12,16,8,45,53,600,0
88.424,25.063527,121.280764,84.29,2025,12,16,8,45,53,800,0
88.624,25.063527,121.280764,84.29,2025,12,16,8,45,53,800,0
88.824,25.063528,121.280764,84.39,2025,12,16,8,45,54,200,0
89.024,25.063528,121.280764,84.44,2025,12,16,8,45,54,400,0
89.224,25.063528,121.280764,84.48,2025,12,16,8,45,54,600,0
89.424,25.063528,121.280765,84.52,2025,12,16,8,45,54,800,0
89.624,25.063528,121.280765,84.52,2025,12,16,8,45,54,800,0
89.824,25.063528,121.280765,84.62,2025,12,16,8,45,55,200,0
90.024,25.063528,121.280765,84.67,2025,12,16,8,45,55,400,0
90.224,25.063528,121.280765,84.72,2025,12,16,8,45,55,600,0
90.424,25.063528,121.280765,84.76,2025,12,16,8,45,55,800,0
90.624,25.063528,121.280765,84.80,2025,12,16,8,45,56,0,0
90.824,25.063528,121.280766,84.85,2025,12,16,8,45,56,200,0
91.024,25.063528,121.280766,84.89,2025,12,16,8,45,56,400,0
91.224,25.063529,121.280766,84.93,2025,12,16,8,45,56,600,0
91.424,25.063529,121.280766,84.98,2025,12,16,8,45,56,800,0
91.624,25.063529,121.280766,85.02,2025,12,16,8,45,57,0,0
91.824,25.063529,121.280766,85.06,2025,12,16,8,45,57,200,0
92.024,25.063529,121.280766,85.06,2025,12,16,8,45,57,200,0
92.224,25.063529,121.280766,85.10,2025,12,16,8,45,57,400,0
92.424,25.063529,121.280766,85.13,2025,12,16,8,45,57,600,0
92.624,25.063529,121.280766,85.17,2025,12,16,8,45,57,800,0
92.824,25.063529,121.280766,85.21,2025,12,16,8,45,58,0,0
93.024,25.063529,121.280766,85.25,2025,12,16,8,45,58,200,0
93.224,25.063529,121.280767,85.30,2025,12,16,8,45,58,400,0
93.424,25.063529,121.280767,85.34,2025,12,16,8,45,58,600,0
93.624,25.063529,121.280767,85.38,2025,12,16,8,45,58,800,0
93.824,25.063529,121.280767,85.42,2025,12,16,8,45,59,0,0
94.024,25.063529,121.280767,85.46,2025,12,16,8,45,59,200,0
94.224,25.063529,121.280767,85.55,2025,12,16,8,45,59,600,0
94.424,25.063529,121.280767,85.59,2025,12,16,8,45,59,800,0
94.624,25.063529,121.280767,85.59,2025,12,16,8,45,59,800,0
94.824,25.063529,121.280767,85.68,2025,12,16,8,46,0,200,0
95.024,25.063529,121.280767,85.73,2025,12,16,8,46,0,400,0
95.224,25.063530,121.280767,85.77,2025,12,16,8,46,0,600,0
95.424,25.063530,121.280767,85.81,2025,12,16,8,46,0,800,0
95.624,25.063530,121.280767,85.81,2025,12,16,8,46,0,800,0
