#2026/01/22 11:08:21
time,wx,wy,wz,ax,ay,az,Tx,Ty,Tz,Tacc,pitch,roll,yaw
0.008,0.00500,0.17500,-0.12500,-0.05412,0.02236,-9.84784,40.799,40.799,40.799,35.023,0.00022,0.02611,-0.00006
0.018,-0.06500,-0.00000,-0.12500,-0.04924,0.01748,-9.84784,40.799,40.799,40.799,35.059,-0.00033,0.04429,-0.00029
0.028,0.04000,0.03500,-0.09000,-0.05412,0.02236,-9.84296,40.799,40.799,40.799,35.027,-0.00003,0.02140,-0.00070
0.038,-0.06500,0.24500,-0.05500,-0.05412,0.01260,-9.86248,40.799,40.799,40.799,35.027,-0.00076,0.04352,-0.00118
0.048,0.04000,0.17500,-0.05500,-0.04436,0.01260,-9.84784,40.799,40.799,40.799,35.000,-0.00028,0.02091,-0.00166
0.058,0.00500,0.03500,-0.12500,-0.05900,-0.01180,-9.85760,40.799,40.799,40.799,35.000,-0.00212,0.04284,-0.00215
0.068,-0.10000,0.03500,-0.16000,-0.06388,0.00284,-9.86736,40.799,40.799,40.799,35.031,-0.00097,0.02026,-0.00267
0.078,0.00500,0.03500,-0.12500,-0.05412,0.00284,-9.84296,40.799,40.799,40.799,35.031,-0.00326,0.04208,-0.00328
0.088,0.04000,-0.03500,-0.16000,-0.05900,0.00284,-9.84296,40.799,40.799,40.799,35.043,-0.00189,0.01951,-0.00412
0.098,-0.06500,0.03500,-0.09000,-0.05900,0.01260,-9.85272,40.799,40.799,40.799,35.043,-0.00458,0.04134,-0.00518
0.108,-0.17000,0.10500,-0.16000,-0.07364,0.01260,-9.85272,40.799,40.799,40.799,35.047,-0.00223,0.01883,-0.00634
0.118,-0.03000,-0.00000,-0.02000,-0.06388,0.00772,-9.84784,40.799,40.799,40.799,35.055,-0.00500,0.04030,-0.00745
0.128,0.07500,0.03500,-0.02000,-0.05412,0.00284,-9.85272,40.799,40.799,40.799,35.055,-0.00216,0.01766,-0.00836
0.138,0.00500,0.07000,-0.05500,-0.05900,0.01748,-9.84784,40.799,40.799,40.799,35.078,-0.00506,0.03925,-0.00898
0.148,-0.03000,-0.00000,-0.19500,-0.04924,0.01260,-9.85760,40.799,40.799,40.799,35.078,-0.00208,0.01676,-0.00948
0.158,-0.10000,-0.00000,-0.05500,-0.03948,0.02236,-9.85760,40.799,40.799,40.799,35.047,-0.00527,0.03834,-0.01001
0.168,-0.03000,0.07000,-0.09000,-0.05900,0.00284,-9.85760,40.799,40.799,40.799,35.047,-0.00222,0.01604,-0.01048
0.178,-0.06500,0.17500,-0.16000,-0.04924,0.02724,-9.84296,40.799,40.799,40.799,35.035,-0.00536,0.03771,-0.01095
0.188,0.00500,0.03500,-0.05500,-0.05412,-0.00204,-9.86248,40.799,40.799,40.799,35.035,-0.00202,0.01525,-0.01158
0.198,-0.06500,-0.14000,-0.09000,-0.06388,0.01260,-9.84784,40.799,40.799,40.799,35.031,-0.00570,0.03658,-0.01219
0.208,0.14500,0.07000,-0.12500,-0.06388,0.01260,-9.84784,40.799,40.799,40.799,35.031,-0.00222,0.01418,-0.01267
0.218,-0.17000,0.07000,-0.05500,-0.05900,0.01260,-9.85760,40.799,40.799,40.799,35.031,-0.00569,0.03578,-0.01318
0.228,-0.06500,-0.07000,-0.12500,-0.06388,-0.01668,-9.85760,40.799,40.799,40.799,35.043,-0.00228,0.01351,-0.01373
0.238,0.07500,0.10500,-0.09000,-0.06876,0.00772,-9.84784,40.799,40.799,40.799,35.043,-0.00603,0.03505,-0.01425
0.248,0.04000,0.24500,-0.19500,-0.05900,-0.01668,-9.86736,40.799,40.799,40.799,35.020,-0.00193,0.01302,-0.01485
0.258,-0.03000,0.03500,-0.05500,-0.05412,0.01260,-9.86736,40.799,40.799,40.799,35.020,-0.00576,0.03460,-0.01558
0.268,-0.13500,-0.00000,-0.12500,-0.06388,0.02236,-9.85760,40.799,40.799,40.799,35.031,-0.00188,0.01240,-0.01634
0.278,-0.03000,0.24500,-0.12500,-0.05900,0.01260,-9.85760,40.799,40.799,40.799,35.031,-0.00594,0.03374,-0.01717
0.288,0.00500,0.07000,-0.12500,-0.05900,0.01260,-9.85760,40.799,40.799,40.799,35.000,-0.00170,0.01151,-0.01812
0.298,0.07500,-0.07000,-0.12500,-0.04436,0.02724,-9.85272,40.799,40.799,40.799,35.039,-0.00634,0.03263,-0.01917
0.308,0.07500,0.10500,-0.02000,-0.05412,0.00772,-9.85272,40.799,40.799,40.799,35.039,-0.00197,0.01052,-0.02020
0.318,-0.13500,0.07000,-0.05500,-0.05900,0.01748,-9.86248,40.799,40.799,40.799,35.016,-0.00665,0.03187,-0.02114
0.328,-0.03000,-0.00000,-0.09000,-0.05412,0.01748,-9.84784,40.799,40.799,40.799,35.016,-0.00203,0.00996,-0.02189
0.338,-0.10000,0.17500,-0.02000,-0.05900,0.02236,-9.84784,40.799,40.799,40.799,35.059,-0.00705,0.03129,-0.02239
0.348,0.00500,0.14000,-0.05500,-0.05412,0.02724,-9.85760,40.799,40.799,40.799,35.059,-0.00180,0.00934,-0.02264
0.358,0.11000,0.03500,-0.05500,-0.07364,-0.00692,-9.85760,40.799,40.799,40.799,35.035,-0.00691,0.03032,-0.02270
0.368,-0.13500,-0.03500,-0.19500,-0.06388,0.00772,-9.85760,40.799,40.799,40.799,35.035,-0.00167,0.00824,-0.02280
0.378,-0.03000,-0.03500,-0.05500,-0.04924,0.00284,-9.85272,40.799,40.799,40.799,35.023,-0.00708,0.02924,-0.02309
0.388,-0.03000,0.17500,-0.09000,-0.05900,0.00772,-9.84784,40.799,40.799,40.799,35.031,-0.00170,0.00726,-0.02348
0.398,-0.03000,-0.03500,-0.16000,-0.07364,-0.00204,-9.85272,40.799,40.799,40.799,35.031,-0.00720,0.02838,-0.02395
0.408,-0.03000,-0.03500,-0.02000,-0.06876,0.02236,-9.85272,40.799,40.799,40.799,35.016,-0.00168,0.00650,-0.02458
0.418,-0.06500,0.14000,-0.12500,-0.04924,-0.00204,-9.84296,40.799,40.799,40.799,35.016,-0.00717,0.02752,-0.02526
0.428,-0.10000,0.17500,-0.16000,-0.06388,0.01260,-9.86248,40.799,40.799,40.799,35.039,-0.00120,0.00558,-0.02594
0.438,0.18000,-0.07000,-0.05500,-0.05412,0.00284,-9.85760,40.799,40.799,40.799,35.039,-0.00681,0.02651,-0.02675
0.448,0.04000,0.03500,0.01500,-0.05412,0.00772,-9.85760,40.799,40.799,40.799,35.000,-0.00105,0.00478,-0.02756
0.458,-0.06500,-0.00000,-0.09000,-0.05412,0.00772,-9.86248,40.799,40.799,40.799,35.000,-0.00681,0.02605,-0.02821
0.468,0.11000,0.03500,-0.09000,-0.03948,0.01748,-9.85272,40.799,40.799,40.799,35.039,-0.00105,0.00454,-0.02871
0.478,0.11000,-0.03500,0.01500,-0.05412,0.01748,-9.87224,40.799,40.799,40.799,35.051,-0.00707,0.02605,-0.02902
0.488,-0.10000,0.07000,-0.05500,-0.04924,0.01748,-9.85760,40.799,40.799,40.799,35.051,-0.00131,0.00506,-0.02909
0.498,0.00500,-0.03500,-0.05500,-0.05900,0.01748,-9.84784,40.799,40.799,40.799,35.055,-0.00737,0.02660,-0.02910
0.508,-0.03000,-0.03500,-0.09000,-0.05412,0.01260,-9.84784,40.799,40.799,40.799,35.055,-0.00146,0.00530,-0.02910
0.518,0.00500,-0.03500,-0.09000,-0.06388,0.00284,-9.84296,40.799,40.799,40.799,35.035,-0.00753,0.02673,-0.02910
0.528,-0.03000,0.10500,-0.09000,-0.05412,0.01260,-9.85272,40.799,40.799,40.799,35.035,-0.00155,0.00534,-0.02910
0.538,-0.03000,-0.00000,-0.09000,-0.05900,0.00772,-9.85272,40.799,40.799,40.799,35.043,-0.00747,0.02648,-0.02910
0.548,-0.03000,0.28000,-0.09000,-0.05412,0.00284,-9.86736,40.799,40.799,40.799,35.043,-0.00124,0.00494,-0.02909
0.558,-0.03000,0.07000,-0.05500,-0.06388,0.00284,-9.85272,40.799,40.799,40.799,35.020,-0.00710,0.02597,-0.02910
0.568,-0.03000,0.03500,-0.09000,-0.04924,0.01260,-9.85272,40.795,40.795,40.795,35.000,-0.00074,0.00420,-0.02909
0.578,0.00500,-0.07000,-0.09000,-0.04924,0.00772,-9.85272,40.795,40.795,40.795,35.000,-0.00691,0.02501,-0.02910
0.588,-0.03000,0.03500,-0.12500,-0.05900,-0.00204,-9.85760,40.795,40.795,40.795,35.051,-0.00070,0.00324,-0.02916
0.598,0.04000,0.00000,-0.02000,-0.05412,0.01748,-9.86248,40.795,40.795,40.795,35.051,-0.00695,0.02412,-0.02935
0.608,-0.06500,-0.00000,-0.05500,-0.04924,0.01748,-9.85760,40.795,40.795,40.795,35.039,-0.00077,0.00258,-0.02960
0.618,-0.13500,0.17500,-0.12500,-0.04924,0.00772,-9.85272,40.795,40.795,40.795,35.039,-0.00707,0.02359,-0.02991
0.628,0.00500,0.14000,-0.09000,-0.05900,0.01260,-9.83808,40.795,40.795,40.795,35.047,-0.00036,0.00195,-0.03035
0.638,-0.03000,-0.07000,-0.05500,-0.05900,0.01260,-9.86736,40.795,40.795,40.795,35.047,-0.00663,0.02261,-0.03079
0.648,-0.13500,-0.07000,-0.05500,-0.06388,0.00284,-9.84784,40.795,40.795,40.795,35.055,-0.00009,0.00072,-0.03110
0.658,0.07500,0.07000,-0.02000,-0.05412,0.01260,-9.84784,40.795,40.795,40.795,35.020,-0.00634,0.02125,-0.03135
0.668,0.04000,0.00000,-0.05500,-0.04924,-0.00204,-9.84784,40.795,40.795,40.795,35.020,0.00026,-0.00056,-0.03154
0.678,0.00500,0.00000,-0.09000,-0.06876,0.02724,-9.85760,40.795,40.795,40.795,35.023,-0.00628,0.02037,-0.03160
0.688,0.00500,0.10500,-0.09000,-0.05900,0.01748,-9.85272,40.795,40.795,40.795,35.023,0.00032,-0.00093,-0.03160
0.698,-0.03000,0.10500,-0.05500,-0.06876,0.00284,-9.84784,40.795,40.795,40.795,35.051,-0.00606,0.02027,-0.03160
0.708,-0.24000,0.03500,-0.09000,-0.06388,0.00772,-9.86248,40.795,40.795,40.795,35.051,0.00059,-0.00109,-0.03160
