#2026/01/28 10:18:08
time,wx,wy,wz,ax,ay,az,Tx,Ty,Tz,Tacc,pitch,roll,yaw
0.007,0.33500,0.05500,0.15000,0.03348,0.03956,-9.63175,26.624,26.624,26.624,277.125,-0.00095,0.00034,0.05047
0.017,0.23000,-0.08500,0.08000,0.02391,0.02043,-9.64610,26.624,26.624,26.624,277.125,-0.00983,-0.00502,0.05789
0.027,0.12500,0.05500,-0.02500,0.03826,0.03000,-9.63654,26.624,26.624,26.624,277.125,0.00919,0.00706,0.06001
0.037,0.19500,-0.12000,0.04500,0.02391,0.03478,-9.63654,26.624,26.624,26.624,277.078,-0.00787,-0.00383,0.06001
0.047,0.26500,0.16000,0.15000,0.02869,0.03000,-9.63654,26.624,26.624,26.624,277.078,0.01074,0.00793,0.06001
0.057,0.23000,0.09000,0.01000,0.03348,0.02043,-9.63175,26.624,26.624,26.624,277.125,-0.00597,-0.00271,0.06001
0.067,0.09000,-0.08500,0.01000,0.02869,0.02043,-9.63175,26.625,26.625,26.625,277.125,0.01281,0.00893,0.06001
0.077,0.26500,0.05500,0.22000,0.02391,0.02521,-9.63175,26.625,26.625,26.625,277.133,-0.00380,-0.00145,0.06001
0.087,0.26500,0.09000,0.22000,0.03348,0.01565,-9.64132,26.625,26.625,26.625,277.133,0.01497,0.01018,0.06001
0.097,0.12500,0.05500,0.15000,0.03348,0.01565,-9.65088,26.625,26.625,26.625,277.133,-0.00138,0.00006,0.06001
0.107,0.09000,0.02000,0.11500,0.02391,0.02521,-9.63175,26.625,26.625,26.625,277.133,0.01750,0.01135,0.06001
0.117,0.19500,0.05500,0.11500,0.04304,0.02043,-9.63654,26.625,26.625,26.625,277.133,0.00089,0.00127,0.06001
0.127,0.23000,0.02000,0.08000,0.03348,0.01565,-9.63175,26.625,26.625,26.625,277.102,0.01973,0.01237,0.06001
0.137,0.12500,-0.08500,0.15000,0.03826,0.02521,-9.62697,26.625,26.625,26.625,277.102,0.00303,0.00252,0.06001
0.147,0.26500,-0.12000,0.18500,0.02869,0.02521,-9.63654,26.625,26.625,26.625,277.109,0.02171,0.01313,0.06001
0.157,0.37000,-0.01500,0.01000,0.02391,0.02521,-9.64132,26.625,26.625,26.625,277.109,0.00433,0.00359,0.06001
0.167,0.40500,-0.12000,0.04500,0.01435,0.02043,-9.63175,26.625,26.625,26.625,277.102,0.02304,0.01373,0.06001
0.177,0.02000,0.12500,0.15000,0.03348,0.01565,-9.63175,26.625,26.625,26.625,277.102,0.00554,0.00442,0.06001
0.187,0.16000,-0.01500,0.04500,0.02391,0.03478,-9.63175,26.625,26.625,26.625,277.109,0.02467,0.01345,0.06001
0.197,0.26500,0.05500,0.01000,0.01913,0.03956,-9.64132,26.625,26.625,26.625,277.086,0.00709,0.00447,0.06001
0.207,-0.01500,0.23000,0.11500,0.01913,0.02521,-9.63175,26.625,26.625,26.625,277.086,0.02677,0.01301,0.06001
0.217,0.05500,0.09000,0.08000,0.03826,0.03478,-9.64610,26.625,26.625,26.625,277.086,0.00936,0.00438,0.06001
