#2026/03/11 10:48:15
time,wx,wy,wz,ax,ay,az,Tx,Ty,Tz,Tacc,pitch,roll,yaw
0.024,-0.01162,-0.02146,-0.00191,-0.05127,0.02747,-9.79808,33.940,33.940,33.940,28.109,0.00035,0.02407,0.00003
0.034,-0.01163,-0.02146,-0.00114,-0.05612,0.03218,-9.79333,33.940,33.940,33.940,28.109,0.00109,0.04186,0.00003
0.044,0.05904,-0.05658,0.00352,-0.04654,0.03690,-9.79323,33.940,33.940,33.940,28.094,0.00045,0.01886,0.00004
0.054,0.05909,-0.05658,-0.00035,-0.04648,0.02747,-9.79802,33.940,33.940,33.940,28.094,0.00145,0.04153,0.00004
0.064,-0.01161,-0.02146,-0.00269,-0.04648,0.03219,-9.79802,33.940,33.940,33.940,28.094,0.00068,0.01878,0.00004
0.074,-0.04658,0.04796,-0.00199,-0.05127,0.03220,-9.79808,33.940,33.940,33.940,28.070,0.00205,0.04155,0.00004
0.084,-0.01165,-0.02146,0.00041,-0.05127,0.02747,-9.79808,33.940,33.940,33.940,28.070,0.00101,0.01882,0.00003
0.094,-0.04687,0.01339,-0.00040,-0.05121,0.02749,-9.80288,33.940,33.940,33.940,28.109,0.00233,0.04150,0.00003
0.104,-0.04685,0.01339,-0.00194,-0.04654,0.03690,-9.79323,33.940,33.940,33.940,28.109,0.00119,0.01857,0.00002
0.114,0.05962,0.01258,-0.00044,-0.05127,0.02747,-9.79808,33.940,33.940,33.940,28.094,0.00255,0.04097,0.00001
0.124,0.05907,-0.05658,0.00120,-0.05134,0.02746,-9.79328,33.940,33.940,33.940,28.094,0.00108,0.01804,-0.00000
0.134,0.02358,-0.05631,0.00044,-0.04648,0.02747,-9.79802,33.940,33.940,33.940,28.086,0.00238,0.04068,-0.00001
0.144,0.02386,-0.02173,-0.00038,-0.04661,0.02744,-9.78842,33.940,33.940,33.940,28.102,0.00093,0.01803,-0.00001
0.154,-0.04738,-0.05577,-0.00185,-0.05128,0.02275,-9.79808,33.941,33.941,33.941,28.102,0.00247,0.04085,-0.00001
0.164,-0.04690,0.01339,0.00192,-0.04642,0.02748,-9.80282,33.941,33.941,33.941,28.117,0.00102,0.01823,-0.00001
0.174,0.02359,-0.05631,-0.00034,-0.05121,0.02276,-9.80288,33.941,33.941,33.941,28.117,0.00270,0.04088,-0.00001
0.184,-0.04739,-0.05577,-0.00108,-0.05140,0.02271,-9.78847,33.941,33.941,33.941,28.062,0.00121,0.01804,-0.00001
0.194,-0.01137,0.01312,-0.00041,-0.04654,0.03218,-9.79322,33.941,33.941,33.941,28.062,0.00311,0.04041,-0.00001
