#2026/03/11 10:45:14
time,wx,wy,wz,ax,ay,az,Tx,Ty,Tz,Tacc,pitch,roll,yaw
0.034,0.02357,-0.05631,0.00117,-0.05134,0.02746,-9.79328,31.871,31.871,31.871,26.078,0.00131,0.02371,-0.00006
0.044,-0.01137,0.01312,-0.00045,-0.05607,0.02275,-9.79813,31.871,31.871,31.871,26.078,0.00256,0.04144,-0.00006
0.054,-0.04662,0.04797,0.00106,-0.04176,0.02272,-9.79316,31.871,31.871,31.871,26.121,0.00109,0.01854,-0.00006
0.064,-0.01139,0.01312,0.00109,-0.04175,0.03217,-9.79317,31.871,31.871,31.871,26.062,0.00265,0.04106,-0.00006
0.074,-0.08266,-0.02092,0.00194,-0.04649,0.02274,-9.79802,31.871,31.871,31.871,26.062,0.00132,0.01806,-0.00006
0.084,-0.04712,-0.02119,-0.00117,-0.05128,0.02275,-9.79808,31.871,31.871,31.871,26.105,0.00285,0.04041,-0.00005
0.094,-0.01113,0.04770,0.00182,-0.05607,0.02275,-9.79813,31.871,31.871,31.871,26.105,0.00123,0.01725,-0.00004
0.104,0.02467,0.08200,-0.00133,-0.05128,0.02275,-9.79808,31.871,31.871,31.871,26.047,0.00280,0.03951,-0.00003
0.114,-0.01218,-0.09062,0.00046,-0.05134,0.01800,-9.79327,31.871,31.871,31.871,26.047,0.00119,0.01646,-0.00003
0.124,-0.08315,-0.09008,-0.00106,-0.04655,0.01800,-9.79322,31.871,31.871,31.871,26.078,0.00250,0.03883,-0.00003
0.134,0.02388,-0.02173,-0.00197,-0.05134,0.02746,-9.79328,31.871,31.871,31.871,26.078,0.00090,0.01584,-0.00003
0.144,-0.01171,-0.02146,0.00500,-0.05127,0.02747,-9.79808,31.871,31.871,31.871,26.098,0.00253,0.03829,-0.00003
0.154,-0.04743,-0.05577,0.00197,-0.05606,0.02747,-9.79813,31.871,31.871,31.871,26.105,0.00082,0.01536,-0.00003
0.164,-0.01219,-0.09061,0.00123,-0.04648,0.02747,-9.79802,31.871,31.871,31.871,26.105,0.00245,0.03771,-0.00002
0.174,-0.01188,-0.05604,-0.00191,-0.04655,0.02745,-9.79322,31.873,31.873,31.873,26.133,0.00090,0.01471,-0.00001
0.184,-0.04718,-0.02119,0.00347,-0.05134,0.02273,-9.79327,31.873,31.873,31.873,26.133,0.00290,0.03704,-0.00000
0.194,-0.01163,-0.02146,-0.00118,-0.04661,0.02271,-9.78842,31.873,31.873,31.873,26.109,0.00102,0.01407,0.00001
0.204,0.02438,0.04743,0.00103,-0.04655,0.02273,-9.79322,31.873,31.873,31.873,26.109,0.00318,0.03637,0.00002
0.214,-0.04716,-0.02119,0.00193,-0.04649,0.02274,-9.79802,31.873,31.873,31.873,26.105,0.00127,0.01346,0.00003
0.224,0.02359,-0.05631,-0.00038,-0.04649,0.02274,-9.79802,31.873,31.873,31.873,26.105,0.00346,0.03586,0.00004
0.234,0.02387,-0.02173,-0.00119,-0.05128,0.02275,-9.79808,31.873,31.873,31.873,26.086,0.00122,0.01306,0.00004
0.244,-0.04714,-0.02119,0.00038,-0.05134,0.02273,-9.79327,31.873,31.873,31.873,26.078,0.00357,0.03554,0.00005
0.254,0.02356,-0.05631,0.00194,-0.05134,0.02273,-9.79327,31.873,31.873,31.873,26.078,0.00117,0.01284,0.00005
0.264,-0.04689,0.01339,0.00111,-0.05134,0.02273,-9.79327,31.873,31.873,31.873,26.098,0.00357,0.03529,0.00006
