#2025/08/25 17:51:33
time,wx, wy, wz, ax, ay, az, Tx, Ty, Tz, TAcc
0.013,-0.00010,0.00578,0.00192,0.03112,-0.02473,0.96342,38.063,38.095,37.097,39.360
0.023,-0.00015,0.00578,0.00169,0.02847,-0.03272,0.96720,38.063,38.095,37.097,39.139
0.033,-0.00019,0.00582,0.00142,0.03171,-0.02629,0.96919,38.063,37.869,37.097,39.360
0.043,-0.00055,0.00587,0.00129,0.02824,-0.02535,0.96938,38.063,37.869,37.097,39.139
0.053,-0.00068,0.00605,0.00129,0.02921,-0.02512,0.97118,38.063,37.869,37.097,39.249
0.063,-0.00091,0.00622,0.00142,0.02691,-0.02434,0.96412,38.063,37.869,37.097,39.360
0.073,-0.00082,0.00640,0.00151,0.02913,-0.03054,0.96985,38.063,37.869,37.097,39.249
0.083,-0.00077,0.00640,0.00156,0.03151,-0.02379,0.96701,38.063,37.869,37.097,39.360
0.093,-0.00068,0.00645,0.00160,0.02886,-0.02508,0.96638,38.063,37.869,37.097,39.249
0.103,-0.00028,0.00654,0.00151,0.02874,-0.02902,0.96829,38.063,37.869,37.097,39.360
0.113,-0.00033,0.00645,0.00129,0.02972,-0.02664,0.96716,38.063,37.869,37.097,39.360
0.123,-0.00028,0.00627,0.00111,0.02675,-0.02976,0.96884,38.063,37.869,37.097,39.360
0.133,-0.00006,0.00614,0.00089,0.02905,-0.02527,0.96541,38.063,37.869,37.097,39.139
0.143,-0.00002,0.00578,0.00093,0.02863,-0.02473,0.97102,38.063,37.869,37.097,39.249
0.153,-0.00024,0.00533,0.00111,0.02531,-0.02742,0.96509,38.063,37.869,37.097,39.360
0.163,-0.00051,0.00511,0.00133,0.02734,-0.02586,0.96743,38.063,37.869,37.097,39.249
0.173,-0.00024,0.00507,0.00138,0.02867,-0.02679,0.96974,38.063,37.869,37.097,39.249
0.183,-0.00006,0.00502,0.00133,0.03034,-0.02948,0.96619,38.063,37.869,37.115,39.139
0.193,-0.00006,0.00498,0.00129,0.02894,-0.02609,0.96143,38.063,37.869,37.115,39.249
0.203,-0.00023,0.00507,0.00125,0.03202,-0.02574,0.96275,38.063,37.869,37.115,39.360
0.213,-0.00028,0.00524,0.00125,0.03206,-0.02773,0.96868,38.063,37.869,37.115,39.249
0.223,-0.00032,0.00542,0.00120,0.02839,-0.02664,0.96938,38.063,37.869,37.115,39.360
0.233,-0.00055,0.00536,0.00138,0.03058,-0.02980,0.96853,38.063,38.029,37.115,39.360
0.243,-0.00059,0.00545,0.00160,0.02874,-0.02722,0.96728,38.063,38.029,37.115,39.249
0.253,-0.00059,0.00550,0.00174,0.03007,-0.02781,0.96856,38.063,38.029,37.115,39.139
0.263,-0.00046,0.00559,0.00196,0.02816,-0.02960,0.96841,38.063,38.029,37.115,39.139
0.273,-0.00055,0.00585,0.00187,0.02270,-0.02796,0.96708,38.063,38.029,37.115,39.139
0.283,-0.00041,0.00617,0.00165,0.02769,-0.02621,0.96704,38.063,38.029,37.115,39.139
0.293,-0.00019,0.00617,0.00147,0.02644,-0.02964,0.96689,38.063,38.029,37.115,39.249
0.303,-0.00001,0.00594,0.00147,0.02769,-0.02609,0.97141,38.063,38.029,37.115,39.360
0.313,-0.00019,0.00568,0.00151,0.03042,-0.02675,0.96665,38.063,38.029,37.115,39.139
0.323,-0.00010,0.00545,0.00151,0.02753,-0.02172,0.97356,38.063,38.029,37.115,39.360
0.333,0.00012,0.00532,0.00151,0.02863,-0.02516,0.96868,38.061,38.029,37.115,39.360
0.343,0.00003,0.00532,0.00143,0.02742,-0.02956,0.96825,38.061,38.029,37.115,39.360
0.353,0.00003,0.00527,0.00143,0.02449,-0.02847,0.96599,38.061,38.029,37.115,39.028
0.363,0.00017,0.00536,0.00143,0.03124,-0.02516,0.97040,38.061,38.029,37.115,39.139
0.373,0.00034,0.00532,0.00147,0.02714,-0.02796,0.96685,38.061,38.029,37.115,39.360
0.383,0.00039,0.00536,0.00151,0.02500,-0.02710,0.96864,38.061,38.029,37.112,39.249
0.393,0.00034,0.00536,0.00151,0.02055,-0.03038,0.97013,38.061,38.029,37.112,39.139
0.403,0.00066,0.00527,0.00169,0.02531,-0.02781,0.96552,38.061,38.029,37.112,39.139
0.413,0.00066,0.00523,0.00187,0.02839,-0.02839,0.96595,38.061,38.029,37.112,39.360
0.423,0.00088,0.00527,0.00192,0.02726,-0.02859,0.96693,38.061,38.029,37.112,39.360
0.433,0.00097,0.00526,0.00192,0.02664,-0.02831,0.96591,38.061,37.956,37.112,39.360
0.443,0.00110,0.00526,0.00196,0.02531,-0.03214,0.96970,38.061,37.956,37.112,39.139
0.453,0.00128,0.00535,0.00210,0.02726,-0.02894,0.96907,38.061,37.956,37.112,39.360
0.463,0.00128,0.00535,0.00223,0.03143,-0.02648,0.96689,38.061,37.956,37.112,39.360
0.473,0.00128,0.00535,0.00236,0.03214,-0.02605,0.96845,38.061,37.956,37.112,39.360
0.483,0.00150,0.00543,0.00236,0.02796,-0.02917,0.96970,38.061,37.956,37.112,39.360
0.493,0.00150,0.00530,0.00219,0.03112,-0.02621,0.96817,38.061,37.956,37.112,39.139
0.503,0.00132,0.00526,0.00205,0.02812,-0.03026,0.97083,38.061,37.956,37.112,39.139
0.513,0.00119,0.00521,0.00205,0.03030,-0.02648,0.96599,38.061,37.956,37.112,39.360
0.523,0.00128,0.00521,0.00201,0.03022,-0.02691,0.96934,38.061,37.956,37.112,39.249
0.533,0.00106,0.00526,0.00196,0.02660,-0.02625,0.97137,38.068,37.956,37.112,39.139
0.543,0.00115,0.00530,0.00205,0.02480,-0.02687,0.96794,38.068,37.956,37.112,39.139
0.553,0.00088,0.00539,0.00218,0.02855,-0.02804,0.96786,38.068,37.956,37.112,39.249
0.563,0.00079,0.00557,0.00227,0.02827,-0.02788,0.96662,38.068,37.956,37.112,39.249
0.573,0.00079,0.00561,0.00223,0.03315,-0.02765,0.96704,38.068,37.956,37.112,39.139
0.583,0.00074,0.00539,0.00209,0.02239,-0.02473,0.96868,38.068,37.956,37.094,39.028
0.593,0.00074,0.00535,0.00200,0.03026,-0.02582,0.96658,38.068,37.956,37.094,39.139
0.603,0.00092,0.00526,0.00196,0.02769,-0.02597,0.96856,38.068,37.956,37.094,39.139
0.613,0.00079,0.00521,0.00205,0.02707,-0.02223,0.96837,38.068,37.956,37.094,39.139
0.623,0.00056,0.00539,0.00218,0.02956,-0.02816,0.96662,38.068,37.956,37.094,39.139
0.633,0.00047,0.00554,0.00218,0.02586,-0.02765,0.96743,38.068,38.021,37.094,39.360
0.643,0.00043,0.00563,0.00205,0.02644,-0.02336,0.96767,38.068,38.021,37.094,39.249
0.653,0.00030,0.00554,0.00196,0.02582,-0.02648,0.97036,38.068,38.021,37.094,39.139
0.663,0.00030,0.00546,0.00191,0.03124,-0.02601,0.96724,38.068,38.021,37.094,39.249
0.673,0.00043,0.00546,0.00178,0.03077,-0.02644,0.96981,38.068,38.021,37.094,39.360
0.683,0.00052,0.00541,0.00165,0.03042,-0.02675,0.96841,38.068,38.021,37.094,39.139
0.693,0.00039,0.00546,0.00160,0.02582,-0.02769,0.96825,38.068,38.021,37.094,39.139
0.703,0.00030,0.00554,0.00160,0.02785,-0.02593,0.96638,38.068,38.021,37.094,39.139
0.713,0.00021,0.00586,0.00165,0.02847,-0.02613,0.96790,38.068,38.021,37.094,39.249
0.723,0.00007,0.00595,0.00169,0.02699,-0.02336,0.96786,38.068,38.021,37.094,39.139
