#2025/08/25 18:31:47
time,wx, wy, wz, ax, ay, az, Tx, Ty, Tz, TAcc
0.003,-103.76862,-70.10573,-66.10817,0.27014,0.49680,9.32767,-265.839,-265.956,-265.723,51.846
0.013,-103.76963,-70.10608,-66.10818,0.28749,0.49365,9.37234,-265.839,-265.956,-265.723,51.846
0.023,-103.77067,-70.10645,-66.10819,0.24853,0.52400,9.38219,-265.839,-265.956,-265.723,51.846
0.033,-103.77175,-70.10683,-66.10822,0.24501,0.45521,9.36439,-265.839,-265.956,-265.723,51.625
0.043,-103.77290,-70.10722,-66.10822,0.27631,0.49161,9.37072,-265.839,-265.956,-265.723,51.625
0.053,-103.77412,-70.10757,-66.10825,0.21868,0.49832,9.36817,-265.839,-265.956,-265.723,51.846
0.063,-103.77547,-70.10792,-66.10828,0.26013,0.48836,9.36267,-265.839,-265.956,-265.723,51.736
0.073,-103.77687,-70.10823,-66.10831,0.24833,0.47398,9.34220,-265.839,-265.956,-265.723,51.736
0.083,-103.77838,-70.10850,-66.10835,0.23399,0.47091,9.38923,-265.839,-265.956,-265.723,51.515
0.093,-103.77995,-70.10873,-66.10838,0.29284,0.46109,9.37531,-265.841,-265.956,-265.723,51.846
0.103,-103.78152,-70.10898,-66.10841,0.25317,0.48152,9.40851,-265.841,-265.956,-265.723,51.625
0.113,-103.78312,-70.10925,-66.10846,0.23351,0.44664,9.36159,-265.841,-265.956,-265.723,51.736
0.123,-103.78474,-70.10955,-66.10849,0.26616,0.46537,9.35634,-265.841,-265.956,-265.723,51.515
0.133,-103.78636,-70.10985,-66.10854,0.24007,0.48696,9.34695,-265.841,-265.956,-265.723,51.846
0.143,-103.78804,-70.11012,-66.10859,0.25192,0.50426,9.31755,-265.841,-265.956,-265.722,51.846
0.153,-103.78980,-70.11035,-66.10866,0.28239,0.50240,9.36345,-265.841,-265.956,-265.722,51.846
0.163,-103.79163,-70.11059,-66.10872,0.29587,0.47741,9.30408,-265.841,-265.956,-265.722,51.515
0.173,-103.79350,-70.11082,-66.10880,0.26485,0.51795,9.36094,-265.841,-265.956,-265.722,51.625
0.183,-103.79537,-70.11105,-66.10886,0.24852,0.45743,9.32539,-265.841,-265.956,-265.722,51.625
0.193,-103.79724,-70.11129,-66.10896,0.20723,0.48514,9.36057,-265.841,-265.955,-265.722,51.625
0.203,-103.79913,-70.11151,-66.10905,0.20383,0.44283,9.34225,-265.841,-265.955,-265.722,51.625
0.213,-103.80099,-70.11173,-66.10915,0.29157,0.47633,9.34428,-265.841,-265.955,-265.722,51.736
0.223,-103.80289,-70.11196,-66.10927,0.28001,0.50700,9.37066,-265.841,-265.955,-265.722,51.625
0.233,-103.80478,-70.11216,-66.10939,0.25094,0.48058,9.35906,-265.841,-265.955,-265.722,51.736
0.243,-103.80663,-70.11232,-66.10950,0.29091,0.50245,9.35261,-265.841,-265.955,-265.722,51.846
0.253,-103.80848,-70.11242,-66.10963,0.27345,0.50467,9.38272,-265.841,-265.955,-265.722,51.625
0.263,-103.81029,-70.11250,-66.10976,0.26294,0.48404,9.32128,-265.841,-265.955,-265.722,51.515
0.273,-103.81203,-70.11256,-66.10990,0.27790,0.48814,9.36029,-265.841,-265.955,-265.722,51.625
0.283,-103.81373,-70.11262,-66.11005,0.26041,0.53257,9.38780,-265.841,-265.955,-265.722,51.515
0.293,-103.81535,-70.11267,-66.11018,0.24650,0.46248,9.35270,-265.841,-265.955,-265.722,51.515
0.303,-103.81689,-70.11271,-66.11034,0.26450,0.46935,9.40738,-265.840,-265.955,-265.722,51.846
0.313,-103.81840,-70.11274,-66.11049,0.25464,0.49636,9.36302,-265.840,-265.955,-265.722,51.846
0.323,-103.81984,-70.11277,-66.11063,0.24578,0.49020,9.38555,-265.840,-265.955,-265.722,51.736
0.333,-103.82125,-70.11281,-66.11078,0.24837,0.46299,9.38808,-265.840,-265.955,-265.722,51.736
0.343,-103.82260,-70.11283,-66.11094,0.23238,0.47779,9.38557,-265.840,-265.955,-265.722,51.625
0.353,-103.82388,-70.11285,-66.11113,0.27874,0.52189,9.34889,-265.840,-265.955,-265.723,51.736
0.363,-103.82507,-70.11286,-66.11133,0.21715,0.45915,9.36432,-265.840,-265.955,-265.723,51.625
0.373,-103.82619,-70.11288,-66.11155,0.25268,0.50052,9.34853,-265.840,-265.955,-265.723,51.736
0.383,-103.82726,-70.11288,-66.11179,0.25574,0.46262,9.37081,-265.840,-265.955,-265.723,51.625
0.393,-103.82826,-70.11290,-66.11205,0.22623,0.47955,9.35500,-265.840,-265.955,-265.723,51.736
0.403,-103.82925,-70.11290,-66.11233,0.24709,0.44478,9.33710,-265.840,-265.956,-265.723,51.736
0.413,-103.83019,-70.11290,-66.11264,0.27024,0.52067,9.35370,-265.840,-265.956,-265.723,51.515
0.423,-103.83113,-70.11290,-66.11298,0.24797,0.43705,9.31502,-265.840,-265.956,-265.723,51.846
0.433,-103.83205,-70.11291,-66.11333,0.31663,0.48044,9.35034,-265.840,-265.956,-265.723,51.736
0.443,-103.83292,-70.11292,-66.11373,0.27223,0.47432,9.37602,-265.840,-265.956,-265.723,51.846
0.453,-103.83376,-70.11292,-66.11417,0.24130,0.44434,9.33588,-265.840,-265.956,-265.723,51.736
0.463,-103.83456,-70.11292,-66.11466,0.28784,0.45647,9.38738,-265.840,-265.956,-265.723,51.736
0.473,-103.83538,-70.11293,-66.11516,0.24703,0.48703,9.34817,-265.840,-265.956,-265.723,51.515
0.483,-103.83618,-70.11295,-66.11568,0.26821,0.49150,9.35985,-265.840,-265.956,-265.723,51.515
0.493,-103.83704,-70.11295,-66.11623,0.33378,0.49876,9.38728,-265.840,-265.956,-265.723,51.625
0.503,-103.83792,-70.11295,-66.11682,0.25586,0.45186,9.36402,-265.841,-265.956,-265.723,51.736
0.513,-103.83882,-70.11295,-66.11744,0.23363,0.43399,9.36687,-265.841,-265.956,-265.723,51.846
0.523,-103.83974,-70.11296,-66.11806,0.29656,0.47683,9.36399,-265.841,-265.956,-265.723,51.736
0.533,-103.84068,-70.11297,-66.11872,0.23806,0.48898,9.38674,-265.841,-265.956,-265.723,51.736
0.543,-103.84163,-70.11297,-66.11940,0.26046,0.49524,9.35339,-265.841,-265.956,-265.723,51.625
0.553,-103.84259,-70.11296,-66.12012,0.22417,0.48730,9.38471,-265.841,-265.956,-265.724,51.515
0.563,-103.84358,-70.11296,-66.12086,0.25860,0.48379,9.37876,-265.841,-265.956,-265.724,51.515
0.573,-103.84468,-70.11295,-66.12163,0.26251,0.51986,9.36334,-265.841,-265.956,-265.724,51.625
0.583,-103.84582,-70.11296,-66.12246,0.27815,0.50498,9.34132,-265.841,-265.956,-265.724,51.846
0.593,-103.84695,-70.11295,-66.12335,0.23666,0.47552,9.38439,-265.841,-265.956,-265.724,51.736
0.603,-103.84805,-70.11295,-66.12431,0.25993,0.47257,9.34464,-265.841,-265.954,-265.724,51.736
0.613,-103.84920,-70.11295,-66.12537,0.23542,0.44518,9.38009,-265.841,-265.954,-265.724,51.736
0.623,-103.85037,-70.11295,-66.12650,0.24837,0.46449,9.37722,-265.841,-265.954,-265.724,51.625
0.633,-103.85159,-70.11295,-66.12771,0.24540,0.49507,9.34532,-265.841,-265.954,-265.724,51.625
0.643,-103.85284,-70.11298,-66.12898,0.30767,0.48200,9.38851,-265.841,-265.954,-265.724,51.846
0.653,-103.85415,-70.11298,-66.13033,0.23999,0.49541,9.34893,-265.841,-265.954,-265.724,51.515
0.663,-103.85549,-70.11297,-66.13172,0.22273,0.44834,9.32498,-265.841,-265.954,-265.724,51.625
0.673,-103.85688,-70.11298,-66.13316,0.29147,0.48368,9.36194,-265.841,-265.954,-265.724,51.846
0.683,-103.85830,-70.11299,-66.13467,0.23636,0.47159,9.35465,-265.841,-265.954,-265.724,51.625
0.693,-103.85972,-70.11300,-66.13623,0.28296,0.48172,9.37801,-265.841,-265.954,-265.724,51.736
0.703,-103.86110,-70.11299,-66.13779,0.26504,0.49802,9.36826,-265.840,-265.954,-265.724,51.846
0.713,-103.86246,-70.11301,-66.13934,0.27871,0.45085,9.33713,-265.840,-265.954,-265.724,51.846
0.723,-103.86387,-70.11301,-66.14085,0.21749,0.46864,9.33010,-265.840,-265.954,-265.724,51.736
0.733,-103.86526,-70.11302,-66.14231,0.27681,0.48011,9.37319,-265.840,-265.954,-265.724,51.736
0.743,-103.86662,-70.11302,-66.14370,0.22560,0.49920,9.38064,-265.840,-265.954,-265.724,51.736
0.753,-103.86797,-70.11302,-66.14499,0.24741,0.48780,9.34656,-265.840,-265.954,-265.726,51.736
0.763,-103.86929,-70.11302,-66.14617,0.28021,0.45019,9.36809,-265.840,-265.954,-265.726,51.736
0.773,-103.87059,-70.11301,-66.14725,0.26388,0.49199,9.40768,-265.840,-265.954,-265.726,51.736
0.783,-103.87185,-70.11301,-66.14828,0.26359,0.52604,9.37457,-265.840,-265.954,-265.726,51.515
0.793,-103.87305,-70.11301,-66.14925,0.24551,0.48131,9.36387,-265.840,-265.954,-265.726,51.736
0.803,-103.87421,-70.11301,-66.15012,0.25658,0.49636,9.35659,-265.840,-265.957,-265.726,51.736
0.813,-103.87535,-70.11301,-66.15094,0.27164,0.45287,9.39339,-265.840,-265.957,-265.726,51.846
0.823,-103.87645,-70.11300,-66.15171,0.29759,0.48574,9.38888,-265.840,-265.957,-265.726,51.736
0.833,-103.87755,-70.11301,-66.15240,0.19462,0.47008,9.37267,-265.840,-265.957,-265.726,51.736
0.843,-103.87863,-70.11302,-66.15308,0.26110,0.46955,9.35873,-265.840,-265.957,-265.726,51.625
0.853,-103.87976,-70.11302,-66.15368,0.25139,0.50981,9.37623,-265.840,-265.957,-265.726,51.846
0.863,-103.88095,-70.11302,-66.15423,0.28147,0.51020,9.40804,-265.840,-265.957,-265.726,51.736
0.873,-103.88216,-70.11302,-66.15477,0.27299,0.51384,9.37062,-265.840,-265.957,-265.726,51.846
0.883,-103.88333,-70.11303,-66.15531,0.23107,0.49501,9.37303,-265.840,-265.957,-265.726,51.736
0.893,-103.88448,-70.11304,-66.15590,0.25279,0.48377,9.39282,-265.840,-265.957,-265.726,51.515
0.903,-103.88560,-70.11304,-66.15649,0.26480,0.48532,9.35947,-265.840,-265.957,-265.726,51.625
0.913,-103.88667,-70.11304,-66.15712,0.23534,0.45248,9.38368,-265.840,-265.957,-265.726,51.736
0.923,-103.88778,-70.11305,-66.15774,0.26824,0.48655,9.37395,-265.840,-265.957,-265.726,51.736
0.933,-103.88889,-70.11305,-66.15833,0.23644,0.49212,9.41688,-265.840,-265.957,-265.726,51.736
0.943,-103.88995,-70.11307,-66.15890,0.28664,0.49792,9.39042,-265.840,-265.957,-265.726,51.846
0.953,-103.89103,-70.11306,-66.15944,0.20879,0.48965,9.32397,-265.840,-265.957,-265.724,51.515
0.963,-103.89213,-70.11306,-66.15993,0.26899,0.48584,9.39043,-265.840,-265.957,-265.724,51.957
0.973,-103.89322,-70.11305,-66.16041,0.24202,0.48282,9.36627,-265.840,-265.957,-265.724,51.515
0.983,-103.89428,-70.11305,-66.16085,0.23680,0.46169,9.37962,-265.840,-265.957,-265.724,51.736
0.993,-103.89529,-70.11304,-66.16131,0.16866,0.43986,9.36551,-265.840,-265.957,-265.724,51.846
1.003,-103.89630,-70.11304,-66.16175,0.21288,0.53289,9.39374,-265.840,-265.956,-265.724,51.736
1.013,-103.89735,-70.11304,-66.16218,0.23741,0.51770,9.36893,-265.840,-265.956,-265.724,51.736
1.023,-103.89847,-70.11304,-66.16254,0.28967,0.50635,9.37631,-265.840,-265.956,-265.724,51.625
1.033,-103.89960,-70.11304,-66.16286,0.23744,0.51539,9.36532,-265.840,-265.956,-265.724,51.736
1.043,-103.90083,-70.11303,-66.16314,0.28247,0.53234,9.36292,-265.840,-265.956,-265.724,51.736
1.053,-103.90205,-70.11302,-66.16338,0.26957,0.50842,9.36702,-265.840,-265.956,-265.724,51.736
1.063,-103.90326,-70.11302,-66.16358,0.27884,0.50890,9.36824,-265.840,-265.956,-265.724,51.736
1.073,-103.90454,-70.11301,-66.16379,0.25688,0.50443,9.35857,-265.840,-265.956,-265.724,51.846
1.083,-103.90589,-70.11301,-66.16399,0.24537,0.46014,9.34587,-265.840,-265.956,-265.724,51.736
1.093,-103.90724,-70.11301,-66.16418,0.27924,0.46788,9.38128,-265.840,-265.956,-265.724,51.846
1.103,-103.90862,-70.11300,-66.16439,0.23871,0.50164,9.38347,-265.839,-265.956,-265.724,51.515
1.113,-103.91003,-70.11299,-66.16461,0.21814,0.47566,9.36425,-265.839,-265.956,-265.724,51.625
1.123,-103.91140,-70.11298,-66.16481,0.25308,0.49148,9.40284,-265.839,-265.956,-265.724,51.846
1.133,-103.91277,-70.11298,-66.16499,0.21918,0.51766,9.41392,-265.839,-265.956,-265.724,51.736
1.143,-103.91405,-70.11298,-66.16518,0.25222,0.46492,9.38165,-265.839,-265.956,-265.724,51.736
1.153,-103.91531,-70.11299,-66.16538,0.25020,0.50872,9.40115,-265.839,-265.956,-265.726,51.736
1.163,-103.91657,-70.11301,-66.16559,0.23273,0.48200,9.38113,-265.839,-265.956,-265.726,51.846
1.173,-103.91783,-70.11301,-66.16580,0.24529,0.42605,9.36934,-265.839,-265.956,-265.726,51.846
1.183,-103.91910,-70.11300,-66.16603,0.27124,0.49278,9.39081,-265.839,-265.956,-265.726,51.736
1.193,-103.92042,-70.11301,-66.16625,0.24943,0.47673,9.35867,-265.839,-265.956,-265.726,51.625
1.203,-103.92173,-70.11301,-66.16647,0.23478,0.51339,9.34643,-265.839,-265.956,-265.726,51.625
1.213,-103.92304,-70.11301,-66.16670,0.24463,0.52817,9.37935,-265.839,-265.956,-265.726,51.846
1.223,-103.92438,-70.11301,-66.16692,0.22772,0.51052,9.43729,-265.839,-265.956,-265.726,51.515
1.233,-103.92574,-70.11302,-66.16713,0.26276,0.49606,9.36103,-265.839,-265.956,-265.726,51.846
1.243,-103.92712,-70.11302,-66.16733,0.23821,0.47740,9.36549,-265.839,-265.956,-265.726,51.736
1.253,-103.92858,-70.11302,-66.16753,0.24999,0.45684,9.37967,-265.839,-265.956,-265.726,51.736
1.263,-103.93012,-70.11301,-66.16773,0.29431,0.47329,9.34551,-265.839,-265.956,-265.726,51.846
1.273,-103.93177,-70.11301,-66.16791,0.24168,0.43343,9.40870,-265.839,-265.956,-265.726,51.846
1.283,-103.93346,-70.11301,-66.16805,0.21130,0.50774,9.33153,-265.839,-265.956,-265.726,51.515
1.293,-103.93518,-70.11300,-66.16819,0.29964,0.50960,9.40285,-265.839,-265.956,-265.726,51.736
1.303,-103.93691,-70.11300,-66.16830,0.20048,0.46587,9.35622,-265.841,-265.956,-265.726,51.625
1.313,-103.93868,-70.11299,-66.16841,0.26523,0.47922,9.36955,-265.841,-265.956,-265.726,51.846
1.323,-103.94044,-70.11300,-66.16852,0.23784,0.47172,9.39245,-265.841,-265.956,-265.726,51.736
1.333,-103.94216,-70.11300,-66.16861,0.29020,0.53015,9.37702,-265.841,-265.956,-265.726,51.846
1.343,-103.94385,-70.11300,-66.16869,0.24487,0.49948,9.40922,-265.841,-265.956,-265.726,51.846
1.353,-103.94550,-70.11299,-66.16876,0.23827,0.50550,9.39310,-265.841,-265.956,-265.723,51.846
1.363,-103.94711,-70.11300,-66.16883,0.29294,0.49062,9.36754,-265.841,-265.956,-265.723,51.736
1.373,-103.94866,-70.11301,-66.16888,0.24894,0.52358,9.36933,-265.841,-265.956,-265.723,51.846
1.383,-103.95018,-70.11302,-66.16892,0.25289,0.47680,9.37356,-265.841,-265.956,-265.723,51.736
1.393,-103.95168,-70.11303,-66.16895,0.25020,0.51964,9.33236,-265.841,-265.956,-265.723,51.736
1.403,-103.95314,-70.11304,-66.16898,0.22803,0.51706,9.43967,-265.841,-265.956,-265.723,51.736
1.413,-103.95453,-70.11304,-66.16902,0.26061,0.51526,9.37300,-265.841,-265.956,-265.723,51.736
1.423,-103.95586,-70.11307,-66.16906,0.25106,0.46868,9.35871,-265.841,-265.956,-265.723,51.957
1.433,-103.95717,-70.11308,-66.16910,0.25212,0.47340,9.39287,-265.841,-265.956,-265.723,51.736
1.443,-103.95842,-70.11310,-66.16913,0.28763,0.47833,9.38125,-265.841,-265.956,-265.723,51.736
1.453,-103.95966,-70.11313,-66.16915,0.23571,0.45517,9.38206,-265.841,-265.956,-265.723,51.625
1.463,-103.96095,-70.11316,-66.16918,0.24222,0.42787,9.34480,-265.841,-265.956,-265.723,51.846
1.473,-103.96223,-70.11320,-66.16922,0.26523,0.48299,9.34782,-265.841,-265.956,-265.723,51.846
1.483,-103.96356,-70.11325,-66.16925,0.32160,0.47985,9.39257,-265.841,-265.956,-265.723,51.846
1.493,-103.96496,-70.11330,-66.16929,0.32454,0.45609,9.39429,-265.841,-265.956,-265.723,51.846
1.503,-103.96639,-70.11335,-66.16932,0.25780,0.48270,9.40450,-265.842,-265.956,-265.723,51.515
1.513,-103.96788,-70.11340,-66.16935,0.25578,0.49414,9.38635,-265.842,-265.956,-265.723,51.846
1.523,-103.96938,-70.11346,-66.16940,0.23698,0.48657,9.35378,-265.842,-265.956,-265.723,51.736
1.533,-103.97092,-70.11353,-66.16945,0.25137,0.50420,9.42610,-265.842,-265.956,-265.723,51.846
1.543,-103.97253,-70.11359,-66.16949,0.25954,0.46918,9.36878,-265.842,-265.956,-265.723,51.736
1.553,-103.97417,-70.11365,-66.16953,0.26041,0.50324,9.33124,-265.842,-265.956,-265.724,51.736
1.563,-103.97585,-70.11371,-66.16957,0.22203,0.47264,9.36708,-265.842,-265.956,-265.724,51.625
