#2025/09/05 10:51:25
time,wx,wy,wz,ax,ay,az,Tx,Ty,Tz,TAcc,pitch,roll,yaw
0.003,-0.02335,-0.04934,0.99214,9.80399,0.12895,-0.19373,42.873,42.283,41.239,49.415,0.96171,-4.22719,-9.56984
0.013,-0.02330,-0.04930,0.99576,9.77365,0.07226,-0.16904,42.873,42.283,41.239,49.747,0.95491,-5.16942,-9.55992
0.023,-0.02335,-0.04957,0.99858,9.84384,0.13316,-0.21851,42.873,42.283,41.239,49.636,0.95184,-6.10447,-9.55000
0.033,-0.02335,-0.05006,0.99804,9.78025,0.13946,-0.18062,42.869,42.283,41.239,49.636,0.94909,-7.02706,-9.54010
0.043,-0.02312,-0.05050,0.99571,9.76726,0.11144,-0.13711,42.869,42.283,41.239,49.747,0.94445,-7.93690,-9.53024
0.053,-0.02294,-0.05059,0.99442,9.78650,0.14663,-0.12474,42.869,42.283,41.239,49.415,0.94194,-8.83606,-9.52042
0.063,-0.02267,-0.05068,0.99428,9.76742,0.14888,-0.18837,42.869,42.283,41.239,49.526,0.93946,-9.72952,-9.51063
0.073,-0.02272,-0.05099,0.99370,9.81599,0.12261,-0.18038,42.869,42.283,41.239,49.526,0.93514,-10.61272,-9.50087
0.083,-0.02281,-0.05113,0.99388,9.77686,0.09076,-0.15706,42.869,42.283,41.395,49.636,0.92874,-11.48490,-9.49115
0.093,-0.02294,-0.05113,0.99522,9.77797,0.15834,-0.15017,42.869,42.283,41.395,49.747,0.92654,-12.34718,-9.48144
0.103,-0.02299,-0.05148,0.99665,9.77314,0.14893,-0.07817,42.869,42.283,41.395,49.747,0.92363,-13.19555,-9.47175
0.113,-0.02294,-0.05184,0.99808,9.81303,0.08368,-0.10218,42.869,42.283,41.395,49.747,0.91643,-14.03621,-9.46208
0.123,-0.02272,-0.05197,0.99840,9.76196,0.11768,-0.08811,42.869,42.283,41.395,49.636,0.91137,-14.86688,-9.45245
0.133,-0.02250,-0.05184,0.99710,9.78443,0.11485,-0.09443,42.869,42.300,41.395,49.636,0.90603,-15.68892,-9.44287
0.143,-0.02250,-0.05188,0.99455,9.77087,0.12042,-0.10176,42.869,42.300,41.395,49.305,0.90099,-16.50252,-9.43335
0.153,-0.02232,-0.05184,0.99249,9.80468,0.14111,-0.11458,42.869,42.300,41.395,49.636,0.89716,-17.30807,-9.42390
0.163,-0.02232,-0.05153,0.99263,9.79402,0.11623,-0.17602,42.869,42.300,41.395,49.415,0.89167,-18.10877,-9.41448
0.173,-0.02254,-0.05135,0.99464,9.75338,0.14692,-0.15223,42.869,42.300,41.395,49.415,0.88808,-18.89931,-9.40510
0.183,-0.02276,-0.05126,0.99634,9.77795,0.10033,-0.16796,42.869,42.300,41.395,49.857,0.88142,-19.68224,-9.39575
0.193,-0.02308,-0.05104,0.99755,9.82178,0.10594,-0.13362,42.869,42.300,41.395,49.415,0.87502,-20.45446,-9.38643
0.203,-0.02299,-0.05077,0.99840,9.82135,0.11890,-0.15902,42.869,42.300,41.395,49.747,0.86939,-21.21990,-9.37716
0.213,-0.02281,-0.05055,0.99808,9.76783,0.10065,-0.15112,42.869,42.300,41.395,49.415,0.86258,-21.97658,-9.36793
0.223,-0.02272,-0.05046,0.99706,9.76818,0.11772,-0.09813,42.869,42.300,41.395,49.747,0.85681,-22.72169,-9.35877
0.233,-0.02272,-0.05019,0.99643,9.80968,0.09305,-0.16014,42.868,42.300,41.395,49.636,0.84939,-23.46259,-9.34967
0.243,-0.02267,-0.05019,0.99755,9.76933,0.12686,-0.12230,42.868,42.300,41.395,49.747,0.84412,-24.19310,-9.34060
0.253,-0.02272,-0.05041,0.99925,9.79316,0.13978,-0.12910,42.868,42.300,41.395,49.636,0.83957,-24.91609,-9.33158
0.263,-0.02285,-0.05081,1.00014,9.82518,0.16035,-0.17370,42.868,42.300,41.395,49.305,0.83623,-25.63402,-9.32261
0.273,-0.02294,-0.05108,0.99952,9.81624,0.13518,-0.09118,42.868,42.300,41.395,49.747,0.83124,-26.33897,-9.31369
0.283,-0.02321,-0.05122,0.99755,9.79062,0.11909,-0.10970,42.868,42.300,41.367,49.636,0.82520,-27.03745,-9.30486
0.293,-0.02321,-0.05148,0.99495,9.78956,0.11673,-0.12538,42.868,42.300,41.367,49.747,0.81898,-27.72934,-9.29610
0.303,-0.02312,-0.05166,0.99214,9.82494,0.12296,-0.10395,42.868,42.300,41.367,49.636,0.81310,-28.41235,-9.28742
0.313,-0.02299,-0.05175,0.99120,9.78073,0.12791,-0.07843,42.868,42.300,41.367,49.747,0.80754,-29.08636,-9.27881
0.323,-0.02272,-0.05175,0.99151,9.80538,0.13137,-0.16157,42.868,42.300,41.367,49.747,0.80214,-29.75829,-9.27026
