ERROR: COMPort, MainThread, 18164, Can't Find the COM Port
ERROR: COMPort, MainThread, 18164, Can't Find the COM Port
ERROR: QST006_Action, Dummy-1, 14672, 132
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
ERROR: QST006_Action, Dummy-1, 14672, 0
