# Generated by Allantools 2019.09
# Input data type: phase
# Input data rate: 100.0
   AF        Tau          N alpha   min_adev       adev   max_adev 
    1 1.0000e-02    1048568 NaN   2.8549e-01 2.8563e-01 2.8577e-01 
    2 2.0000e-02     524283 NaN   1.4548e-01 1.4558e-01 1.4568e-01 
    4 4.0000e-02     262141 NaN   7.2794e-02 7.2865e-02 7.2936e-02 
    8 8.0000e-02     131070 NaN   3.6365e-02 3.6415e-02 3.6465e-02 
   16 1.6000e-01      65534 NaN   1.8151e-02 1.8186e-02 1.8222e-02 
   32 3.2000e-01      32766 NaN   9.0933e-03 9.1185e-03 9.1437e-03 
   64 6.4000e-01      16382 NaN   4.4983e-03 4.5160e-03 4.5336e-03 
  128 1.2800e+00       8190 NaN   2.2362e-03 2.2486e-03 2.2611e-03 
  256 2.5600e+00       4094 NaN   1.1528e-03 1.1619e-03 1.1710e-03 
  512 5.1200e+00       2046 NaN   5.6391e-04 5.7022e-04 5.7652e-04 
 1024 1.0240e+01       1022 NaN   2.7474e-04 2.7911e-04 2.8347e-04 
 2048 2.0480e+01        510 NaN   1.4245e-04 1.4568e-04 1.4890e-04 
 4096 4.0960e+01        254 NaN   7.1447e-05 7.3761e-05 7.6075e-05 
 8192 8.1920e+01        126 NaN   3.6604e-05 3.8310e-05 4.0017e-05 
16384 1.6384e+02         62 NaN   1.5471e-05 1.6520e-05 1.7569e-05 
32768 3.2768e+02         30 NaN   7.2249e-06 7.9507e-06 8.6765e-06 
65536 6.5536e+02         14 NaN   4.0393e-06 4.6624e-06 5.2854e-06 
131072 1.3107e+03          6 NaN   1.4699e-06 1.8469e-06 2.2238e-06 
262144 2.6214e+03          2 NaN   5.1244e-07 7.9271e-07 1.0730e-06 
