Date,Open,High,Low,Close,Volume
10/13/2022 13:30:00,15.85,15.86,15.62,15.63,98427170
10/14/2022 13:30:00,15.89,15.89,15.7,15.7,42251534
10/17/2022 13:30:00,15.61,15.63,15.47,15.58,85433265
10/18/2022 13:30:00,15.8,15.8,15.54,15.61,45209137
10/19/2022 13:30:00,15.62,15.74,15.6,15.6,35119333
10/20/2022 13:30:00,15.45,15.54,15.33,15.51,62553200
10/21/2022 13:30:00,15.51,15.6,15.47,15.5,32158672
10/24/2022 13:30:00,15.7,15.72,15.47,15.49,36294290
10/25/2022 13:30:00,15.53,15.58,15.36,15.44,46814742
10/26/2022 13:30:00,15.5,15.62,15.42,15.58,28734002
10/27/2022 13:30:00,15.65,15.72,15.63,15.64,21556901
10/28/2022 13:30:00,15.64,15.68,15.55,15.6,28528469
10/31/2022 13:30:00,15.68,15.74,15.63,15.7,26278043
11/1/2022 13:30:00,15.74,15.82,15.69,15.79,26536013
11/2/2022 13:30:00,15.85,15.86,15.78,15.82,58621904
11/3/2022 13:30:00,15.69,15.8,15.65,15.78,48323372
11/4/2022 13:30:00,15.75,15.84,15.68,15.84,38970842
11/7/2022 13:30:00,15.96,16.06,15.91,16.05,40519846
11/8/2022 13:30:00,16.17,16.18,16.1,16.15,43048782
11/9/2022 13:30:00,16.24,16.29,16.17,16.26,36930156
11/10/2022 13:30:00,16.24,16.25,16.15,16.17,39978125
11/11/2022 13:30:00,16.51,16.52,16.31,16.48,58728722
11/14/2022 13:30:00,16.58,16.76,16.56,16.74,71046069
11/15/2022 13:30:00,16.74,16.78,16.6,16.77,80317400
11/16/2022 13:30:00,16.55,16.56,16.41,16.42,84253265
11/17/2022 13:30:00,16.42,16.43,16.27,16.37,43890571
11/18/2022 13:30:00,16.37,16.43,16.24,16.25,54708786
11/21/2022 13:30:00,16.25,16.25,16.12,16.15,42702198
11/22/2022 13:30:00,16.13,16.13,16.04,16.1,38615842
11/23/2022 13:30:00,16.2,16.3,16.17,16.28,26244073
11/24/2022 13:30:00,16.35,16.38,16.3,16.35,32340294
11/25/2022 13:30:00,16.37,16.43,16.37,16.4,33971428
11/28/2022 13:30:00,16.26,16.39,16.22,16.34,46456393
11/29/2022 13:30:00,16.33,16.48,16.28,16.46,23948332
11/30/2022 13:30:00,16.47,16.65,16.45,16.65,35719943
12/1/2022 13:30:00,16.78,16.79,16.65,16.68,51299476
12/2/2022 13:30:00,16.65,16.65,16.59,16.61,32494659
12/5/2022 13:30:00,16.62,16.74,16.61,16.67,36846105
12/6/2022 13:30:00,16.63,16.64,16.45,16.45,73904125
12/7/2022 13:30:00,16.41,16.51,16.37,16.4,37960615
12/8/2022 13:30:00,16.4,16.41,16.23,16.32,51537977
12/9/2022 13:30:00,16.39,16.44,16.33,16.41,22880503
12/12/2022 13:30:00,16.36,16.42,16.23,16.42,43248671
12/13/2022 13:30:00,16.44,16.48,16.29,16.29,54214234
12/14/2022 13:30:00,16.35,16.47,16.35,16.46,21078843
12/15/2022 13:30:00,16.43,16.46,16.37,16.44,20180278
12/16/2022 13:30:00,16.23,16.33,16.2,16.31,93829278
12/19/2022 13:30:00,16.28,16.29,16.19,16.25,46567408
12/20/2022 13:30:00,16.26,16.26,16.07,16.1,117804563
12/21/2022 13:30:00,16.1,16.13,16.04,16.07,67938152
12/22/2022 13:30:00,16.15,16.27,16.14,16.27,24209319
12/23/2022 13:30:00,16.17,16.23,16.1,16.19,31964597
12/26/2022 13:30:00,16.22,16.25,16.2,16.23,18713189
12/27/2022 13:30:00,16.26,16.32,16.25,16.27,18488353
12/28/2022 13:30:00,16.25,16.25,16.14,16.17,47551797
12/29/2022 13:30:00,16.1,16.16,16.02,16.09,55771931
12/30/2022 13:30:00,16.18,16.22,16.16,16.17,20694269
1/3/2023 13:30:00,16.15,16.24,16.04,16.18,45454931
1/4/2023 13:30:00,16.18,16.26,16.17,16.23,20865801
1/5/2023 13:30:00,16.28,16.36,16.28,16.32,23139034
1/6/2023 13:30:00,16.32,16.43,16.32,16.41,28899770
1/9/2023 13:30:00,16.56,16.66,16.51,16.66,67723997
1/10/2023 13:30:00,16.66,16.69,16.6,16.68,39145495
1/11/2023 13:30:00,16.7,16.72,16.62,16.67,22460724
1/12/2023 13:30:00,16.69,16.69,16.57,16.59,33644551
1/13/2023 13:30:00,16.66,16.71,16.61,16.62,32502050
1/16/2023 13:30:00,16.64,16.74,16.63,16.7,44766925
1/17/2023 13:30:00,16.74,16.74,16.68,16.72,31397759
1/30/2023 13:30:00,16.93,17.06,16.9,17.01,88042031
1/31/2023 13:30:00,17.01,17.03,16.88,16.88,70532322
2/1/2023 13:30:00,16.95,17,16.89,17,45108058
2/2/2023 13:30:00,17.13,17.13,17,17.12,91868014
2/3/2023 13:30:00,17.13,17.13,17.03,17.1,79318893
2/6/2023 13:30:00,17.09,17.11,17.03,17.05,127077569
2/7/2023 13:30:00,17.06,17.1,17.04,17.06,71888793
2/8/2023 13:30:00,17.12,17.16,17.1,17.15,57532007
2/9/2023 13:30:00,17.1,17.13,17.09,17.11,72874340
2/10/2023 13:30:00,17.11,17.11,17.02,17.06,121567989
2/13/2023 13:30:00,17.08,17.16,17,17.12,117940152
2/14/2023 13:30:00,17.16,17.26,17.16,17.24,98809984
2/15/2023 13:30:00,17.24,17.24,17.15,17.16,197218475
2/16/2023 13:30:00,16.97,17.1,16.96,17.03,143022554
2/17/2023 13:30:00,17,17.05,16.99,17.04,91324708
2/20/2023 13:30:00,17.07,17.15,17.04,17.13,53036365
2/21/2023 13:30:00,17.13,17.14,17.1,17.12,38658369
2/22/2023 13:30:00,17.01,17.09,16.97,17.06,119745595
2/23/2023 13:30:00,17.07,17.2,17.07,17.17,59300530
2/24/2023 13:30:00,17.18,17.21,17.1,17.1,57958267
3/1/2023 13:30:00,17.07,17.07,17,17.03,108967222
3/2/2023 13:30:00,17.05,17.1,16.94,17.08,127050826
3/3/2023 13:30:00,17.1,17.15,17.1,17.13,36519568
3/6/2023 13:30:00,17.21,17.28,17.17,17.23,81382414
3/7/2023 13:30:00,17.25,17.34,17.24,17.31,49022373
3/8/2023 13:30:00,17.28,17.31,17.24,17.31,49768564
3/9/2023 13:30:00,17.33,17.33,17.21,17.21,73373617
3/10/2023 13:30:00,17.13,17.13,17.05,17.05,169314136
3/13/2023 13:30:00,17,17.07,16.87,16.98,200057859
3/14/2023 13:30:00,16.91,16.94,16.84,16.85,236328666
3/15/2023 13:30:00,16.91,16.95,16.85,16.85,95494684
3/16/2023 13:30:00,16.8,16.85,16.75,16.76,151365192
3/17/2023 13:30:00,16.83,16.94,16.83,16.92,56001751
3/20/2023 13:30:00,16.92,16.95,16.84,16.86,78858948
3/21/2023 13:30:00,16.9,16.99,16.9,16.93,34496728
3/22/2023 13:30:00,16.99,17.12,16.99,17.1,59899064
3/23/2023 13:30:00,17.1,17.22,17.07,17.17,87707104
3/24/2023 13:30:00,17.2,17.25,17.17,17.22,69747296
3/27/2023 13:30:00,17.22,17.25,17.19,17.22,54547920
3/28/2023 13:30:00,17.22,17.24,17.15,17.16,39244844
3/29/2023 13:30:00,17.16,17.24,17.16,17.2,29091402
3/30/2023 13:30:00,17.23,17.28,17.21,17.25,43812515
3/31/2023 13:30:00,17.27,17.4,17.27,17.34,72338143
4/6/2023 13:30:00,17.33,17.36,17.25,17.35,57688686
4/7/2023 13:30:00,17.36,17.4,17.34,17.36,32731726
4/10/2023 13:30:00,17.36,17.42,17.35,17.4,40159557
4/11/2023 13:30:00,17.4,17.53,17.4,17.5,55284073
