股利,,股利,股利政策,,,,,,,,,現金殖利率,,,,,,,,,,
發放,,所屬,股東股利 (元/股),,,,,,,填息,填權,,,,,,,,,,,
期間,,期間,現金股利,,,股票股利,,,股利,花費,花費,股價,除息前,,年均價,,成交價,,最高價,,最低價,
,,,盈餘,公積,合計,盈餘,公積,合計,合計,日數,日數,年度,價格,利率,價格,利率,價格,利率,價格,利率,價格,利率
2026,,25Q4,0.78,0,0.78,0,0,0,0.78,-,-,2026,23.91,13,23.5,13.3,22.97,13.6,24.68,12.6,22.31,14
,,,,,,,,,,,,,,(年化),,(年化),,(年化),,(年化),,(年化)
    ∟,3/17 ,25Q4,0.78,0,0.78,0,0,0,0.78,-,-,∟,23.91,3.26,-,3.31,-,3.4,-,3.16,-,3.5
2025,,-,2.52,0,2.52,0,0,0,2.52,-,-,2025,-,11.1,22,11.5,22.4,11.2,24.24,10.4,18.32,13.8
    ∟,12/16 ,25Q3,0.54,0,0.54,0,0,0,0.54,2,-,∟,22.19,2.43,-,2.46,-,2.41,-,2.23,-,2.95
    ∟,9/16 ,25Q2,0.54,0,0.54,0,0,0,0.54,39,-,∟,21.79,2.48,-,2.46,-,2.41,-,2.23,-,2.95
    ∟,6/17 ,25Q1,0.72,0,0.72,0,0,0,0.72,131,-,∟,22.49,3.2,-,3.28,-,3.21,-,2.97,-,3.93
    ∟,3/18 ,24Q4,0.72,0,0.72,0,0,0,0.72,210,-,∟,23.74,3.03,-,3.28,-,3.21,-,2.97,-,3.93
2024,,-,2.8,0,2.8,0,0,0,2.8,-,-,2024,-,11.1,24.3,11.5,23.38,12,27.09,10.3,21.6,13
    ∟,12/20 ,24Q3,0.72,0,0.72,0,0,0,0.72,39,-,∟,23.97,3,-,2.97,-,3.08,-,2.66,-,3.33
    ∟,9/23 ,24Q2,0.72,0,0.72,0,0,0,0.72,5,-,∟,24.18,2.98,-,2.97,-,3.08,-,2.66,-,3.33
    ∟,6/24 ,24Q1,0.7,0,0.7,0,0,0,0.7,-,-,∟,26.94,2.6,-,2.88,-,2.99,-,2.58,-,3.24
    ∟,3/18 ,23Q4,0.66,0,0.66,0,0,0,0.66,2,-,∟,25.83,2.56,-,2.72,-,2.82,-,2.44,-,3.06
2023,,-,1.63,0,1.63,0,0,0,1.63,-,-,2023,-,7.53,19.8,8.24,22.26,7.32,23.02,7.08,16.31,9.99
    ∟,12/18 ,23Q3,0.55,0,0.55,0,0,0,0.55,39,-,∟,22.85,2.41,-,2.78,-,2.47,-,2.39,-,3.37
    ∟,9/18 ,23Q2,0.54,0,0.54,0,0,0,0.54,53,-,∟,21.89,2.47,-,2.73,-,2.43,-,2.35,-,3.31
    ∟,6/16 ,23Q1,0.54,0,0.54,0,0,0,0.54,21,-,∟,20.32,2.66,-,2.73,-,2.43,-,2.35,-,3.31
累計,,,7.73,0,7.73,0,0,0,7.73,,,,,,,,,,,,,
