Date,Open,High,Low,Close,Volume
3/22/2021 13:30:00,76.35,76.85,75.7,76.75,1681517
3/23/2021 13:30:00,76.9,77.35,76.65,76.7,1090033
3/24/2021 13:30:00,75.7,76.1,75.4,75.6,1910240
3/25/2021 13:30:00,75.6,76.2,75.15,75.85,2389144
3/26/2021 13:30:00,76.05,77.3,76.05,77.2,2470241
3/29/2021 13:30:00,78,78,77.55,77.7,1605653
3/30/2021 13:30:00,77.85,78,77.6,77.95,1543622
3/31/2021 13:30:00,77.95,77.95,77.35,77.35,1947879
4/1/2021 13:30:00,77.65,78,77.65,77.9,1412957
4/6/2021 13:30:00,79,79.35,78.9,79,3499835
4/7/2021 13:30:00,79,79.1,78.75,79.1,1097415
4/8/2021 13:30:00,79,79.45,78.5,79.4,1427824
4/9/2021 13:30:00,79.5,79.6,79.1,79.15,1066746
4/12/2021 13:30:00,79.5,79.5,78.55,78.8,1151637
4/13/2021 13:30:00,78.8,79.6,78.7,78.8,1235041
4/14/2021 13:30:00,78.8,79.2,78.2,79.2,1773344
4/15/2021 13:30:00,79.2,80,79.1,80,1524008
4/16/2021 13:30:00,79.95,80,79.5,80,2360392
4/19/2021 13:30:00,80,80.05,79.7,80,1045512
4/20/2021 13:30:00,80,80.15,79.65,80.15,889517
4/21/2021 13:30:00,80,80,79.25,79.3,1148594
4/22/2021 13:30:00,79.5,79.95,79,79.05,1195212
4/23/2021 13:30:00,79.05,79.8,78.85,79.8,996610
4/26/2021 13:30:00,80.25,81.15,80.25,81,2650559
4/27/2021 13:30:00,81,81.1,80.65,80.9,940785
4/28/2021 13:30:00,80.85,80.85,80.35,80.55,1296596
4/29/2021 13:30:00,81.05,81.35,80.65,80.75,1307902
5/3/2021 13:30:00,80.65,80.65,79.3,79.35,2314565
5/4/2021 13:30:00,79.35,79.4,77.65,78.8,2767746
5/5/2021 13:30:00,78.6,78.85,78.05,78.05,1941863
5/6/2021 13:30:00,78.2,79.2,78.05,78.8,3749737
5/7/2021 13:30:00,79.3,80.1,79.15,80.1,1619471
5/10/2021 13:30:00,80.1,80.1,79.3,79.45,1244973
5/11/2021 13:30:00,77.95,78.05,77,77.1,4387966
5/12/2021 13:30:00,76.4,76.4,73.3,75.8,6575857
5/13/2021 13:30:00,73.6,74.75,71.9,73.1,5854309
5/14/2021 13:30:00,73.5,74.85,73.5,74.1,2669708
5/17/2021 13:30:00,72,73.9,71.5,72.55,5622825
5/18/2021 13:30:00,73.4,76.05,73.35,75.95,2602208
5/19/2021 13:30:00,76,76.25,75.15,75.4,1694437
5/20/2021 13:30:00,75.4,75.7,74.65,75.2,1535006
5/21/2021 13:30:00,76.05,76.8,75.35,76.05,1322719
5/24/2021 13:30:00,75.9,76.25,75.4,76.05,1142308
5/25/2021 13:30:00,76.5,77.6,76.5,77.5,1578868
5/26/2021 13:30:00,77.55,77.9,77.1,77.55,1936001
5/27/2021 13:30:00,76.8,77,76.2,77,1222122
5/28/2021 13:30:00,77.6,78.15,77.3,78.05,1612578
5/31/2021 13:30:00,78.15,79.1,78.15,78.9,1515873
6/1/2021 13:30:00,78.9,79.35,78.8,79.1,974726
6/2/2021 13:30:00,79.1,79.2,78.55,78.85,870621
6/3/2021 13:30:00,79.1,79.45,79,79.1,1126565
6/4/2021 13:30:00,78.5,78.65,78.3,78.6,870106
6/7/2021 13:30:00,78.7,79,77.25,78.75,2413800
6/8/2021 13:30:00,78.9,78.95,78.3,78.35,1817580
6/9/2021 13:30:00,78.1,78.2,77.45,77.75,1778160
6/10/2021 13:30:00,77.95,79.2,77.95,79.1,2165962
6/11/2021 13:30:00,79.4,79.85,79.3,79.4,2058815
6/15/2021 13:30:00,79.6,79.95,79.6,79.8,1137005
6/16/2021 13:30:00,79.8,79.85,79.6,79.7,2097229
6/17/2021 13:30:00,79.45,79.6,78.9,79.6,1053359
6/18/2021 13:30:00,79.8,79.8,79.2,79.2,1177978
6/21/2021 13:30:00,78.9,78.9,77.45,77.5,3320918
6/22/2021 13:30:00,78.15,78.15,77.35,77.35,1386026
6/23/2021 13:30:00,77.95,79,77.6,78.8,2775307
6/24/2021 13:30:00,78.8,78.95,78.55,78.65,1058099
6/25/2021 13:30:00,79.25,79.5,78.75,78.9,2145584
6/28/2021 13:30:00,78.9,79.3,78.65,79.2,2105008
6/29/2021 13:30:00,79.4,79.55,79.1,79.3,1269634
6/30/2021 13:30:00,79.5,80.05,79.5,79.9,1438979
7/1/2021 13:30:00,79.8,80.05,79.45,79.6,1368597
7/2/2021 13:30:00,79.75,79.85,79.4,79.5,815980
7/5/2021 13:30:00,79.9,80.45,79.9,80.3,1548029
7/6/2021 13:30:00,80.35,80.7,80.35,80.4,2267583
7/7/2021 13:30:00,80.3,80.3,79.7,80,759302
7/8/2021 13:30:00,80.45,80.45,79.5,79.85,844275
7/9/2021 13:30:00,79.6,79.6,78.55,78.95,4102778
7/12/2021 13:30:00,80.1,80.5,79.5,79.85,2756621
7/13/2021 13:30:00,80.3,80.9,80.15,80.35,2552967
7/14/2021 13:30:00,80.65,81,80.25,80.65,1433305
7/15/2021 13:30:00,80.65,81.25,80.65,81.25,1575877
7/16/2021 13:30:00,79.9,80.3,79.65,80.15,2598065
7/19/2021 13:30:00,79.7,79.7,79,79.5,1751460
7/20/2021 13:30:00,79.25,79.25,78.5,78.75,2133268
7/21/2021 13:30:00,79.05,79.3,78.3,78.65,2081338
7/22/2021 13:30:00,79,79.65,78.95,79.15,794994
7/23/2021 13:30:00,79.4,79.55,78.9,79.05,1267003
7/26/2021 13:30:00,79.3,79.4,78.4,78.5,3015863
7/27/2021 13:30:00,78.75,78.8,78.3,78.35,2274043
7/28/2021 13:30:00,78.1,78.6,77.05,78.6,3857094
7/29/2021 13:30:00,78.5,78.7,77.9,78.7,1236688
7/30/2021 13:30:00,78.7,78.7,78.25,78.3,838155
8/2/2021 13:30:00,78.55,79.5,78.3,79.5,2148960
8/3/2021 13:30:00,79.45,79.6,79.2,79.6,1747135
8/4/2021 13:30:00,79.7,80.15,79.6,80,1662312
8/5/2021 13:30:00,80.05,80.1,79.9,79.95,841913
8/6/2021 13:30:00,79.95,80,79.3,79.8,1959717
8/9/2021 13:30:00,79.65,79.65,78.75,79.65,1490549
8/10/2021 13:30:00,79.65,79.85,79,79.1,975989
8/11/2021 13:30:00,79.1,79.2,78.55,79,1993405
8/12/2021 13:30:00,79,79,78.6,78.75,1326506
8/13/2021 13:30:00,78.85,78.85,77.95,78.1,2227756
8/16/2021 13:30:00,78.05,78.1,77.55,77.8,3524129
8/17/2021 13:30:00,77.8,77.8,77.2,77.2,1855485
8/18/2021 13:30:00,76.45,77.7,76.1,77.7,2701959
8/19/2021 13:30:00,77.35,77.35,75.9,75.95,5234158
8/20/2021 13:30:00,75.9,76.2,74.8,75.2,3881106
8/23/2021 13:30:00,76,77.35,76,77.05,1916148
8/24/2021 13:30:00,77.75,77.75,77.3,77.4,1185574
8/25/2021 13:30:00,77.65,78.35,77.65,78.35,1907653
8/26/2021 13:30:00,79.2,79.4,78.4,78.75,2418792
8/27/2021 13:30:00,78.75,79.6,78.6,79.5,1960221
8/30/2021 13:30:00,79.8,80.15,79.65,80.15,3549273
8/31/2021 13:30:00,80.2,80.8,79.35,80.8,2066349
9/1/2021 13:30:00,80.8,81,80.5,80.9,1619938
9/2/2021 13:30:00,80.9,81.1,80.2,80.2,1581941
9/3/2021 13:30:00,80.5,81.35,80.5,81.2,2504279
9/6/2021 13:30:00,81.2,82.35,81.2,81.6,3440200
9/7/2021 13:30:00,81.8,81.8,81,81.25,1379624
9/8/2021 13:30:00,81.35,81.35,80.15,80.65,2231921
9/9/2021 13:30:00,80.2,80.8,79.85,80.6,1901827
9/10/2021 13:30:00,80.6,81.45,80.6,81.4,900299
9/13/2021 13:30:00,81.35,81.35,80.85,81.05,1102250
9/14/2021 13:30:00,81.15,81.45,81,81.2,848232
9/15/2021 13:30:00,81.05,81.1,80.5,80.6,1164446
9/16/2021 13:30:00,80.6,81,80.15,80.5,2619368
9/17/2021 13:30:00,80.4,81.05,80.05,80.55,1260508
9/22/2021 13:30:00,78.7,78.9,78.15,78.8,5022797
9/23/2021 13:30:00,79.1,79.65,79.1,79.4,1538916
9/24/2021 13:30:00,79.85,80.2,79.8,80.2,1409573
9/27/2021 13:30:00,80.25,80.7,80.05,80.4,2140618
9/28/2021 13:30:00,80.05,80.05,79.5,79.9,939828
9/29/2021 13:30:00,78.65,78.75,78.25,78.6,3204273
9/30/2021 13:30:00,78.6,78.85,77.85,78.55,2269238
10/1/2021 13:30:00,78.25,78.25,77,77.45,4682999
10/4/2021 13:30:00,77.8,77.8,76.5,76.7,4439657
10/5/2021 13:30:00,75.8,76.6,75.45,76.4,4732197
10/6/2021 13:30:00,76.85,77,76,76.35,4025338
10/7/2021 13:30:00,77,77.95,76.95,77.75,1309243
10/8/2021 13:30:00,77.9,77.95,77.1,77.25,1203004
10/12/2021 13:30:00,76.2,76.6,75.75,76.5,2028021
10/13/2021 13:30:00,76.65,76.75,76,76.15,1501761
10/14/2021 13:30:00,76.75,76.9,76.1,76.3,750221
10/15/2021 13:30:00,77.35,78.4,77.2,78.35,2092430
10/18/2021 13:30:00,78.7,78.75,78,78.05,1849762
10/19/2021 13:30:00,78.35,78.85,78.1,78.65,952383
10/20/2021 13:30:00,78.7,78.95,78.55,78.55,1073000
10/21/2021 13:30:00,78.65,79.2,78.25,78.35,1850080
10/22/2021 13:30:00,78.35,78.55,78,78.45,973313
10/25/2021 13:30:00,78.2,78.45,77.7,78.3,1595520
10/26/2021 13:30:00,78.4,79.2,78.4,79,2376903
10/27/2021 13:30:00,78.95,79,78.55,79,762865
10/28/2021 13:30:00,78.95,79,78.5,78.8,1281578
10/29/2021 13:30:00,78.7,78.7,77.9,78.15,1219326
11/1/2021 13:30:00,78.4,78.7,78.3,78.45,844198
11/2/2021 13:30:00,78.6,79.2,78.3,78.4,1163863
11/3/2021 13:30:00,78.6,78.9,78.55,78.65,853699
11/4/2021 13:30:00,79.05,79.15,78.25,78.4,1203375
11/5/2021 13:30:00,78.75,79.4,78.75,79.4,1792761
11/8/2021 13:30:00,79.4,80.1,79.4,80.05,2373564
11/9/2021 13:30:00,80.6,81.15,80.6,80.75,2702723
11/10/2021 13:30:00,80.75,80.75,80.3,80.5,1819869
11/11/2021 13:30:00,80,80.2,79.7,79.85,1739322
11/12/2021 13:30:00,80.3,80.75,80.1,80.2,1587372
11/15/2021 13:30:00,80.6,81.05,80.6,80.9,1497599
11/16/2021 13:30:00,79.55,79.65,79.3,79.55,2714308
11/17/2021 13:30:00,79.75,79.85,79.5,79.7,1439054
11/18/2021 13:30:00,80,80.2,79.8,80.2,867006
11/19/2021 13:30:00,80.8,80.95,80.4,80.45,1703315
11/22/2021 13:30:00,80.45,80.5,80.2,80.3,829436
11/23/2021 13:30:00,79.95,79.95,79.45,79.65,1856196
11/24/2021 13:30:00,79.65,79.65,79,79.25,1215391
11/25/2021 13:30:00,79.25,79.35,78.9,79.25,876021
11/26/2021 13:30:00,78.75,78.9,78,78.1,6029927
11/29/2021 13:30:00,77.9,78.4,77.6,77.8,3641683
11/30/2021 13:30:00,78.45,78.75,77.75,77.9,3859651
12/1/2021 13:30:00,78,79.15,77.95,79,1752387
12/2/2021 13:30:00,79,80,78.85,79.9,2071876
12/3/2021 13:30:00,80,80.1,79.45,79.85,1301500
12/6/2021 13:30:00,79.45,80.1,79,79.75,2250859
12/7/2021 13:30:00,79.75,79.95,79.2,79.95,1500158
12/8/2021 13:30:00,80.6,80.85,80.15,80.2,2150128
12/9/2021 13:30:00,80.3,80.3,79.8,80.25,1628135
12/10/2021 13:30:00,79.9,80.05,79.65,80,1071718
12/13/2021 13:30:00,80,80.3,79.7,79.7,1289867
12/14/2021 13:30:00,79.3,79.3,78.85,79,2193214
12/15/2021 13:30:00,78.8,79.25,78.75,79,1736057
12/16/2021 13:30:00,79.8,80.05,79.6,79.95,2304454
12/17/2021 13:30:00,79.75,80.05,79.5,79.95,1313076
12/20/2021 13:30:00,79.85,79.95,79.15,79.25,1760367
12/21/2021 13:30:00,79.25,80,79.25,79.85,1491314
12/22/2021 13:30:00,79.85,80,79.85,79.95,1167500
12/23/2021 13:30:00,80.3,80.65,80.3,80.4,1868041
12/24/2021 13:30:00,80.5,80.85,80.4,80.45,2384082
12/27/2021 13:30:00,80.5,81.2,80.5,81.05,2579489
12/28/2021 13:30:00,81.2,81.75,81.2,81.7,2550774
12/29/2021 13:30:00,81.8,82.15,81.75,82,2213453
12/30/2021 13:30:00,82,82.05,81.7,81.85,1645356
1/3/2022 13:30:00,82.15,82.85,82.15,82.35,2093833
1/4/2022 13:30:00,83,84.1,83,84.1,2950756
1/5/2022 13:30:00,84.45,84.75,84.1,84.5,15319606
1/6/2022 13:30:00,84.1,84.1,83.05,83.45,4551463
1/7/2022 13:30:00,83.65,83.95,82.5,82.7,3765252
1/10/2022 13:30:00,82.15,83.1,81.85,82.9,2041497
1/11/2022 13:30:00,83.05,83.45,82.55,83.3,4138632
1/12/2022 13:30:00,84,84.2,83.65,84.2,2104664
1/13/2022 13:30:00,84.35,84.75,84.2,84.6,2225677
1/14/2022 13:30:00,85,85.05,83.9,84.6,4410378
1/17/2022 13:30:00,84.95,85.7,84.95,85.45,3436807
1/18/2022 13:30:00,85.45,85.45,84.4,84.45,3377008
1/19/2022 13:30:00,83.7,84.1,83.3,83.45,3415565
1/20/2022 13:30:00,83.45,83.9,82.95,83.75,1886897
1/21/2022 13:30:00,82.6,82.65,81.85,82,4862117
1/24/2022 13:30:00,81.8,82.9,81.55,82.9,2680815
1/25/2022 13:30:00,82.55,82.55,81.35,81.65,4865673
1/26/2022 13:30:00,81.55,81.8,81.3,81.4,8960906
2/7/2022 13:30:00,82.05,82.15,81.3,81.95,5595862
2/8/2022 13:30:00,82.5,82.6,82.2,82.2,2642122
2/9/2022 13:30:00,82.5,82.6,82.15,82.55,1839177
2/10/2022 13:30:00,82.7,83.6,82.7,83.6,1454739
2/11/2022 13:30:00,83.5,83.55,82.95,83.45,1229566
2/14/2022 13:30:00,82.85,82.85,82,82.3,2997069
2/15/2022 13:30:00,82.15,82.5,81.9,82,2229892
2/16/2022 13:30:00,82.9,83.3,82.9,83.3,2632770
2/17/2022 13:30:00,83.35,83.5,82.9,83.25,1596022
2/18/2022 13:30:00,82.65,83.05,82.4,82.95,1102201
2/21/2022 13:30:00,82.45,82.9,82.3,82.8,1237169
2/22/2022 13:30:00,82.25,82.25,81.35,81.75,5716973
2/23/2022 13:30:00,81.75,82.05,81.6,81.85,1784673
2/24/2022 13:30:00,81.15,81.15,79.9,79.9,10060846
2/25/2022 13:30:00,79.95,80.2,79.5,79.85,6105172
3/1/2022 13:30:00,80.2,81.15,80.05,80.8,4317516
3/2/2022 13:30:00,80.7,80.7,80.15,80.45,2079058
3/3/2022 13:30:00,80.8,80.95,80.5,80.55,1596148
3/4/2022 13:30:00,80,80,79.5,79.7,5320416
3/7/2022 13:30:00,79,79,77.7,78.45,13284933
3/8/2022 13:30:00,76.6,76.8,75.85,75.9,14740259
3/9/2022 13:30:00,76.15,76.75,76.15,76.3,5163842
3/10/2022 13:30:00,77.95,78.6,77.9,78.5,3687947
3/11/2022 13:30:00,78.3,78.3,77.35,77.55,3026901
3/14/2022 13:30:00,77.85,78,77.1,77.3,3859396
3/15/2022 13:30:00,76.75,76.75,75.7,75.85,7232312
3/16/2022 13:30:00,76.6,76.65,75.65,76.1,6275801
3/17/2022 13:30:00,77.95,78.65,77.75,78.6,3456415
3/18/2022 13:30:00,78.6,78.6,78,78.3,1652556
3/21/2022 13:30:00,78.7,79.2,78.7,78.8,2592543
3/22/2022 13:30:00,78.8,78.85,78.5,78.7,2284373
3/23/2022 13:30:00,79.2,79.7,79.2,79.55,2472632
3/24/2022 13:30:00,79.3,79.55,79,79.45,1097391
3/25/2022 13:30:00,79.45,79.7,79.4,79.65,1381870
3/28/2022 13:30:00,78.95,78.95,78.15,78.75,4515881
3/29/2022 13:30:00,78.7,79.1,78.65,78.85,1117692
3/30/2022 13:30:00,79.85,79.9,79.55,79.75,1935365
3/31/2022 13:30:00,79.8,79.9,79.55,79.6,1083473
4/1/2022 13:30:00,78.7,78.95,78.5,78.95,1457603
4/6/2022 13:30:00,78.15,78.65,77.8,78.55,3995293
4/7/2022 13:30:00,77.75,78,77.25,77.3,4444195
4/8/2022 13:30:00,77.35,77.5,77.1,77.35,2390580
4/11/2022 13:30:00,77.3,77.35,76.25,76.35,4491163
4/12/2022 13:30:00,76.05,76.65,75.7,76.3,3956666
4/13/2022 13:30:00,76.7,77.8,76.7,77.7,2093500
4/14/2022 13:30:00,77.95,77.95,77.45,77.5,1352356
4/15/2022 13:30:00,76.55,76.65,76.15,76.15,3892112
4/18/2022 13:30:00,75.7,76.2,75.5,75.65,5593854
4/19/2022 13:30:00,76,76.6,76,76,1545301
4/20/2022 13:30:00,76.4,76.45,75.9,76.35,1858925
4/21/2022 13:30:00,76.65,76.95,76.35,76.35,1382269
4/22/2022 13:30:00,75.5,75.95,75.4,75.95,2898893
4/25/2022 13:30:00,74.7,74.8,74.2,74.45,7214535
4/26/2022 13:30:00,74.55,74.8,74.2,74.4,4498522
4/27/2022 13:30:00,73.1,73.2,72.7,72.8,7343083
4/28/2022 13:30:00,73.2,73.4,72.55,73.25,3175299
4/29/2022 13:30:00,74.5,74.6,73.9,74.25,5668334
5/3/2022 13:30:00,74.3,74.3,73.4,73.5,3105284
5/4/2022 13:30:00,73.6,74,73.55,73.65,2239802
5/5/2022 13:30:00,74.7,74.95,74.2,74.4,1696513
5/6/2022 13:30:00,72.85,73.15,72.6,73,5288697
5/9/2022 13:30:00,72.1,72.15,71.7,71.7,4062824
5/10/2022 13:30:00,70.7,71.55,70.1,71.5,5133457
5/11/2022 13:30:00,71.45,71.8,71.1,71.5,1975288
5/12/2022 13:30:00,71,71,69.8,69.8,5309459
5/13/2022 13:30:00,70.05,70.55,70,70.5,1961825
5/16/2022 13:30:00,71.3,71.5,70.6,70.8,3365046
5/17/2022 13:30:00,71,71.7,71,71.55,1461539
5/18/2022 13:30:00,72.3,72.65,72,72.35,2191831
5/19/2022 13:30:00,71.2,71.25,70.7,71.1,2660150
5/20/2022 13:30:00,71.25,72,71.25,71.85,976751
5/23/2022 13:30:00,72.05,72.4,71.65,72,1341683
5/24/2022 13:30:00,72,72.05,71.1,71.1,1188139
5/25/2022 13:30:00,71.45,71.85,71.15,71.6,1008173
5/26/2022 13:30:00,71.95,72,70.75,70.75,3005872
5/27/2022 13:30:00,71.45,72.3,71.45,72.3,1244962
5/30/2022 13:30:00,73.1,74,73.1,73.95,1701364
5/31/2022 13:30:00,73.9,74.5,73.4,74.5,1901332
6/1/2022 13:30:00,74.4,75,74.3,74.4,2793278
6/2/2022 13:30:00,73.8,73.95,73.5,73.7,1561810
6/6/2022 13:30:00,73.7,74.45,73.4,74.2,2852729
6/7/2022 13:30:00,73.55,73.65,73.1,73.35,1966573
6/8/2022 13:30:00,74,74.55,74,74.2,1386963
6/9/2022 13:30:00,73.85,74.1,73.7,73.95,702958
6/10/2022 13:30:00,73,73.45,72.8,73.35,1337370
6/13/2022 13:30:00,71.6,71.65,71.3,71.35,3531769
6/14/2022 13:30:00,70.75,71.3,70.4,71.25,2948502
6/15/2022 13:30:00,71.05,71.25,70.8,70.8,2372968
6/16/2022 13:30:00,71.6,72.05,70.55,70.6,3865806
6/17/2022 13:30:00,69.85,70,69.5,69.8,4926310
6/20/2022 13:30:00,69.8,69.85,69,69,5090993
6/21/2022 13:30:00,69.55,70.25,69.35,70.25,1793635
6/22/2022 13:30:00,70,70,68.8,68.8,3436344
6/23/2022 13:30:00,68.8,69.2,67.6,67.8,5166733
6/24/2022 13:30:00,68.35,68.7,67.9,68,1675871
6/27/2022 13:30:00,69,70,69,69.5,3156555
6/28/2022 13:30:00,69.45,69.45,68.7,69,1402489
6/29/2022 13:30:00,68.25,68.9,68.25,68.3,2101057
6/30/2022 13:30:00,67.8,67.8,66.6,66.75,5206626
7/1/2022 13:30:00,66.65,66.65,64.45,64.45,8955710
7/4/2022 13:30:00,64.45,64.75,63.5,63.65,6096636
7/5/2022 13:30:00,64.9,65.05,63,64.15,5744913
7/6/2022 13:30:00,64.15,64.25,62.95,63.1,4941441
7/7/2022 13:30:00,63.4,65.05,62.9,64.85,2348584
7/8/2022 13:30:00,65.9,65.95,65.1,65.55,2783636
7/11/2022 13:30:00,65.65,65.85,64.85,65.05,1826091
7/12/2022 13:30:00,64.7,64.7,63.25,63.5,2654584
7/13/2022 13:30:00,65.65,65.75,65.15,65.6,4409508
7/14/2022 13:30:00,65.3,66.15,64.7,65.8,3845825
7/15/2022 13:30:00,66.2,66.9,65.85,66.8,3997318
7/18/2022 13:30:00,66.2,66.2,65.55,65.75,5331895
