股利,,股利,股利政策,,,,,,,,,現金殖利率,,,,,,,,,,
發放,,所屬,股東股利 (元/股),,,,,,,填息,填權,,,,,,,,,,,
期間,,期間,現金股利,,,股票股利,,,股利,花費,花費,股價,除息前,,年均價,,成交價,,最高價,,最低價,
,,,盈餘,公積,合計,盈餘,公積,合計,合計,日數,日數,年度,價格,利率,價格,利率,價格,利率,價格,利率,價格,利率
2026,,25Q4,0.62,0,0.62,0,0,0,0.62,1,-,2026,23.68,10.5,23.1,10.7,22.58,11,24.02,10.3,21.98,11.3
,,,,,,,,,,,,,,(年化),,(年化),,(年化),,(年化),,(年化)
    ∟,3/19 ,25Q4,0.62,0,0.62,0,0,0,0.62,1,-,∟,23.68,2.62,-,2.68,-,2.75,-,2.58,-,2.82
2025,,-,2.485,0,2.485,0,0,0,2.485,-,-,2025,-,10.8,22.2,11.2,22.61,11,23.46,10.6,17.79,14
    ∟,12/18 ,25Q3,0.565,0,0.565,0,0,0,0.565,17,-,∟,22.99,2.46,-,2.54,-,2.5,-,2.41,-,3.18
    ∟,9/18 ,25Q2,0.52,0,0.52,0,0,0,0.52,24,-,∟,22.93,2.27,-,2.34,-,2.3,-,2.22,-,2.92
    ∟,6/19 ,25Q1,0.7,0,0.7,0,0,0,0.7,40,-,∟,22.59,3.1,-,3.15,-,3.1,-,2.98,-,3.93
    ∟,3/20 ,24Q4,0.7,0,0.7,0,0,0,0.7,205,-,∟,23.14,3.03,-,3.15,-,3.1,-,2.98,-,3.93
2024,,-,3.12,0,3.12,0,0,0,3.12,-,-,2024,-,12.7,23.8,13.1,23.05,13.5,26.13,11.9,21,14.9
    ∟,12/19 ,24Q3,0.84,0,0.84,0,0,0,0.84,-,-,∟,24.1,3.49,-,3.53,-,3.64,-,3.21,-,4
    ∟,9/19 ,24Q2,0.78,0,0.78,0,0,0,0.78,18,-,∟,24.29,3.21,-,3.28,-,3.38,-,2.99,-,3.71
    ∟,6/19 ,24Q1,0.8,0,0.8,0,0,0,0.8,-,-,∟,26.12,3.06,-,3.36,-,3.47,-,3.06,-,3.81
    ∟,3/18 ,23Q4,0.7,0,0.7,0,0,0,0.7,3,-,∟,23.56,2.97,-,2.94,-,3.04,-,2.68,-,3.33
2023,,-,1.62,0,1.62,0,0,0,1.62,-,-,2023,-,7.45,19.1,8.49,22.09,7.33,22.66,7.15,14.95,10.8
    ∟,12/18 ,23Q3,0.67,0,0.67,0,0,0,0.67,48,-,∟,22.55,2.97,-,3.51,-,3.03,-,2.96,-,4.48
    ∟,9/18 ,23Q2,0.75,0,0.75,0,0,0,0.75,53,-,∟,21.65,3.46,-,3.93,-,3.4,-,3.31,-,5.02
    ∟,6/16 ,23Q1,0.2,0,0.2,0,0,0,0.2,10,-,∟,19.73,1.01,-,1.05,-,0.91,-,0.88,-,1.34
累計,,,7.845,0,7.845,0,0,0,7.845,,,,,,,,,,,,,
